"Mineral Name","Mineral Name (plain)","IMA Chemistry (concise)","Valence Elements"
"Aguilarite","Aguilarite","Ag_4_SeS","Ag^1+ Se^2- S^2-"
"Aheylite","Aheylite","Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O","Fe^2+ Al P O H"
"Ahlfeldite","Ahlfeldite","Ni(SeO_3_)·2H_2_O","Ni^2+ Se^4+ O H"
"Ahrensite","Ahrensite","SiFe_2_O_4_","Si Fe^2+ O"
"Aikinite","Aikinite","CuPbBiS_3_","Cu^1+ Pb^2+ Bi^3+ S^2-"
"Aiolosite","Aiolosite","Na_2_(Na_2_Bi)(SO_4_)_3_Cl","Na Bi^3+ S^6+ O Cl"
"Airdite","Airdite","Sr(V^4+^O)_2_(PO_4_)_2_·4H_2_O","Sr V^4+ O P H"
"Ajoite","Ajoite","K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O","K Cu^2+ Al Si O H"
"Akaganeite","Akaganeite","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","Fe^3+ Ni^2+ O H Cl"
"Akaogiite","Akaogiite","TiO_2_","Ti^4+ O"
"Akatoreite","Akatoreite","Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_","Mn^2+ Al Si O H"
"Akdalaite","Akdalaite","Al_10_O_14_(OH)_2_","Al O H"
"Åkermanite","Akermanite","Ca_2_MgSi_2_O_7_","Ca Mg Si O"
"Akhtenskite","Akhtenskite","MnO_2_","Mn^4+ O"
"Akimotoite","Akimotoite","MgSiO_3_","Mg Si O"
"Aklimaite","Aklimaite","Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O","Ca Si O H"
"Akopovaite","Akopovaite","Al_4_Li_2_(OH)_12_(CO_3_)(H_2_O)_3_","Al Li O H C"
"Akrochordite","Akrochordite","Mn^2+^_5_(AsO_4_)_2_(OH)_4_·4H_2_O","Mn^2+ As^5+ O H"
"Aksaite","Aksaite","MgB_6_O_7_(OH)_6_·2H_2_O","Mg B O H"
"Aktashite","Aktashite","Cu_6_Hg_3_As_4_S_12_","Cu^1+ Hg^2+ As^3+ S^2-"
"Alabandite","Alabandite","MnS","Mn^2+ S^2-"
"Alacránite","Alacranite","As_8_S_9_","As S"
"Alamosite","Alamosite","PbSiO_3_","Pb^2+ Si O"
"Alarsite","Alarsite","Al(AsO_4_)","Al As^5+ O"
"Albertiniite","Albertiniite","Fe^2+^(SO_3_)·3H_2_O","Fe^2+ S^4+ O H"
"Albite","Albite","Na(AlSi_3_O_8_)","Na Al Si O"
"Albrechtschraufite","Albrechtschraufite","MgCa_4_F_2_[UO_2_(CO_3_)_3_]_2_·17-18H_2_O","Ca Mg U^6+ O C F H"
"Alburnite","Alburnite","Ag_8_GeTe_2_S_4_","Ag^1+ Ge^4+ Te^2- S^2-"
"Alcantarillaite","Alcantarillaite","[Fe^3+^_0.5_(H_2_O)_4_][CaAs^3+^_2_(Fe^3+^_2.5_W^6+^_0.5_)(AsO_4_)_2_O_7_]","Fe^3+ H O Ca As^3+ W^6+ As^5+"
"Alcaparrosaite","Alcaparrosaite","K_3_Ti^4+^Fe^3+^(SO_4_)_4_O(H_2_O)_2_","K Ti^4+ Fe^3+ S^6+ O H"
"Aldermanite","Aldermanite","[Mg(H_2_O)_6_][Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH)_6_]·H_2_O","Mg H O Na Al P"
"Aldomarinoite","Aldomarinoite","Sr_2_Mn^3+^(AsO_4_)_2_(OH)","Sr Mn^3+ As^5+ O H"
"Aldridgeite","Aldridgeite","(Cd,Ca)(Cu,Zn)_4_(SO_4_)_2_(OH)_6_·3H_2_O","Cd^2+ Ca Cu^2+ Zn^2+ S^6+ O H"
"Aleksandrovite","Aleksandrovite","KCa_7_Sn_2_Li_3_Si_12_O_36_F_2_","K Ca Sn^4+ Li Si O F"
"Aleksite","Aleksite","PbBi_2_Te_2_S_2_","Pb^2+ Bi^3+ Te^2- S^2-"
"Aleutite","Aleutite","[Cu_5_O_2_](AsO_4_)(VO_4_)·(Cu_0.5_[box]_0.5_)Cl","Cu^2+ O As^5+ V^5+ Cl"
"Alexkhomyakovite","Alexkhomyakovite","K_6_(Ca_2_Na)(CO_3_)_5_Cl·6H_2_O","K Ca Na C O Cl H"
"Alexkuznetsovite-(Ce)","Alexkuznetsovite-(Ce)","Ce_2_Mn(CO_3_)(Si_2_O_7_)","Ce Mn^2+ C O Si"
"Alexkuznetsovite-(La)","Alexkuznetsovite-(La)","La_2_Mn(CO_3_)(Si_2_O_7_)","La Mn^2+ C O Si"
"Alflarsenite","Alflarsenite","NaCa_2_Be_3_Si_4_O_13_(OH)·2H_2_O","Na Ca Be Si O H"
"Alforsite","Alforsite","Ba_5_(PO_4_)_3_Cl","Ba P O Cl"
"Alfredopetrovite","Alfredopetrovite","Al_2_(Se^4+^O_3_)_3_·6H_2_O","Al Se^4+ O H"
"Alfredstelznerite","Alfredstelznerite","Ca_4_(H_2_O)_4_[B_4_O_4_(OH)_6_]_4_(H_2_O)_15_","Ca B O H"
"Algodonite","Algodonite","Cu_1-x_As_x_ (x ≈ 0.15)","Cu As"
"Alicewilsonite-(YCe)","Alicewilsonite-(YCe)","Na_2_Sr_2_YCe(CO_3_)_6_·3H_2_O","Na Sr Y Ce C O H"
"Alicewilsonite-(YLa)","Alicewilsonite-(YLa)","Na_2_Sr_2_YLa(CO_3_)_6_·3H_2_O","Na Sr Y La C O H"
