"Mineral Name","Mineral Name (plain)","IMA Chemistry (concise)","Valence Elements"
"Cobalttsumcorite","Cobalttsumcorite","PbCo_2_(AsO_4_)_2_·2H_2_O","Pb^2+ Co^2+ As^5+ O H"
"Cobaltzippeite","Cobaltzippeite","Co(UO_2_)_2_(SO_4_)O_2_·3.5H_2_O","Co^2+ U^6+ O S^6+ H"
"Coccinite","Coccinite","HgI_2_","Hg I"
"Cochromite","Cochromite","CoCr_2_O_4_","Co^2+ Cr^3+ O"
"Coconinoite","Coconinoite","Fe^3+^_2_Al_2_(UO_2_)_2_(PO_4_)_4_(SO_4_)(OH)_2_·20H_2_O","Fe^3+ Al U^6+ O P S^6+ H"
"Coesite","Coesite","SiO_2_","Si O"
"Coffinite","Coffinite","U(SiO_4_)·nH_2_O","U^4+ Si O H"
"Cohenite","Cohenite","CFe_3_","Fe C"
"Coiraite","Coiraite","(Pb,Sn)_12.5_As_3_Sn_5_FeS_28_","Pb^2+ Sn^2+ As^3+ Fe^2+ Sn^4+ S^2-"
"Coldwellite","Coldwellite","Pd_3_Ag_2_S","Pd Ag S"
"Colemanite","Colemanite","CaB_3_O_4_(OH)_3_·H_2_O","Ca B O H"
"Colimaite","Colimaite","K_3_VS_4_","K V^5+ S^2-"
"Colinowensite","Colinowensite","BaCuSi_2_O_6_","Ba Cu^2+ Si O"
"Collinsite","Collinsite","Ca_2_Mg(PO_4_)_2_·2H_2_O","Ca Mg P O H"
"Colomeraite","Colomeraite","NaTi^3+^Si_2_O_6_","Na Ti^3+ Si O"
"Coloradoite","Coloradoite","HgTe","Hg^2+ Te^2-"
"Colquiriite","Colquiriite","CaLiAlF_6_","Ca Li Al F"
"Columbite-(Fe)","Columbite-(Fe)","Fe^2+^Nb_2_O_6_","Fe^2+ Nb^5+ O"
"Columbite-(Mg)","Columbite-(Mg)","MgNb_2_O_6_","Mg Nb^5+ O"
"Columbite-(Mn)","Columbite-(Mn)","Mn^2+^Nb_2_O_6_","Mn^2+ Nb^5+ O"
"Colusite","Colusite","Cu_13_VAs_3_S_16_","Cu^1+ Cu^2+ V^3+ As^5+ S^2-"
"Comancheite","Comancheite","Hg^2+^_55_N^3-^_24_(NH_2_,OH)_4_(Cl,Br)_34_","Hg^2+ N^3- H O Cl Br"
"Combeite","Combeite","Na_4.5_Ca_3.5_Si_6_O_17.5_(OH)_0.5_","Na Ca Si O"
"Comblainite","Comblainite","Ni_4_Co^3+^_2_(CO_3_)(OH)_12_·3H_2_O","Ni^2+ Co^3+ C^4+ O H"
"Compreignacite","Compreignacite","K_2_(UO_2_)_6_O_4_(OH)_6_·7H_2_O","K U^6+ O H"
"Congolite","Congolite","Fe^2+^_3_B_7_O_13_Cl","Fe^2+ B O Cl"
"Conichalcite","Conichalcite","CaCu(AsO_4_)(OH)","Ca Cu^2+ As^5+ O H"
"Connellite","Connellite","Cu_36_(SO_4_)(OH)_62_Cl_8_·6H_2_O","Cu^2+ S^6+ O H Cl"
"Cookeite","Cookeite","(Al,Li)_3_Al_2_(Si,Al)_4_O_10_(OH)_8_","Li Al Si O H"
"Coombsite","Coombsite","KMn^2+^_13_(Si,Al)_18_O_42_(OH)_14_","K Mn^2+ Si O H"
"Cooperite","Cooperite","PtS","Pt S"
"Coparsite","Coparsite","Cu^2+^_4_O_2_(AsO_4_)Cl","Cu^2+ O As^5+ Cl"
"Copiapite","Copiapite","Fe^2+^Fe^3+^_4_(SO_4_)_6_(OH)_2_·20H_2_O","Fe^2+ Fe^3+ S^6+ O H"
"Copper","Copper","Cu","Cu"
"Coquandite","Coquandite","Sb^3+^_6+x_O_8+x_(SO_4_)(OH)_x_(H_2_O)_1-x_ (x = 0.3)","Sb^3+ O S^6+ H"
"Coquimbite","Coquimbite","AlFe_3_(SO_4_)_6_(H_2_O)_12_·6H_2_O","Al Fe^3+ S^6+ O H"
"Coralloite","Coralloite","Mn^2+^Mn^3+^_2_(AsO_4_)_2_(OH)_2_·4H_2_O","Mn^2+ Mn^3+ As^5+ O H"
"Corderoite","Corderoite","Hg_3_S_2_Cl_2_","Hg S Cl"
"Cordierite","Cordierite","Mg_2_Al_4_Si_5_O_18_","Mg Al Si O"
"Cordylite-(Ce)","Cordylite-(Ce)","(Na,Ca,[box])BaCe_2_(CO_3_)_4_(F,O)","Na Ca Ba Ce C O F"
"Cordylite-(La)","Cordylite-(La)","NaCaBa_2_La_3_Sr(CO_3_)_8_F_2_","Na Ca Ba La Sr C O F"
"Corkite","Corkite","PbFe^3+^_3_(SO_4_)(PO_4_)(OH)_6_","Pb^2+ Fe^3+ S^6+ O P H"
"Cornetite","Cornetite","Cu_3_(PO_4_)(OH)_3_","Cu^2+ P O H"
"Cornubite","Cornubite","Cu_5_(AsO_4_)_2_(OH)_4_","Cu^2+ As^5+ O H"
"Cornwallite","Cornwallite","Cu_5_(AsO_4_)_2_(OH)_4_","Cu^2+ As^5+ O H"
"Coronadite","Coronadite","Pb(Mn^4+^_6_Mn^3+^_2_)O_16_","Pb^2+ Mn^4+ Mn^3+ O"
"Correianevesite","Correianevesite","Fe^2+^Mn^2+^_2_(PO_4_)_2_·3H_2_O","Fe^2+ Mn^2+ P O H"
"Corrensite","Corrensite","(Ca,Na,K)_1-x_(Mg,Fe,Al)_9_(Si,Al)_8_O_20_(OH)_10_·nH_2_O","Ca Na K Mg Fe^2+ Al Si O H"
"Cortesognoite","Cortesognoite","CaV_2_Si_2_O_7_(OH)_2_·H_2_O","Ca V^3+ Si O H"
"Corundum","Corundum","Al_2_O_3_","Al O"
"Corvusite","Corvusite","(Na,Ca,K)_1-x_(V^5+^,V^4+^,Fe^2+^)_8_O_20_·4H_2_O","Na Ca K V^5+ V^4+ Fe^2+ O H"
"Cosalite","Cosalite","Pb_2_Bi_2_S_5_","Pb^2+ Bi^3+ S^2-"
"Coskrenite-(Ce)","Coskrenite-(Ce)","Ce_2_(SO_4_)_2_(C_2_O_4_)·8H_2_O","Ce S^6+ O C H"
"Cossaite","Cossaite","(Mg_0.5_,[box])Al_6_(SO_4_)_6_(HSO_4_)F_6_·36H_2_O","Mg Al S^6+ O H F"
"Costibite","Costibite","CoSbS","Co^3+ Sb S"
"Cotunnite","Cotunnite","PbCl_2_","Pb^2+ Cl"
"Coulsonite","Coulsonite","Fe^2+^V^3+^_2_O_4_","Fe^2+ V^3+ O"
"Cousinite","Cousinite","MgU^4+^_2_(MoO_4_)_2_(OH)_6_·2H_2_O (?)","Mg U^4+ Mo^6+ O H"
"Coutinhoite","Coutinhoite","Th_x_Ba_1-2x_(UO_2_)_2_Si_5_O_13_·3H_2_O","Th^4+ Ba U^6+ O Si H"
"Covellite","Covellite","CuS","Cu^1+ S"
"Cowlesite","Cowlesite","Ca(Al_2_Si_3_)O_10_·5-6H_2_O","Ca Al Si O H"
"Coyoteite","Coyoteite","NaFe_3_S_5_·2H_2_O","Na Fe^3+ S^2- H O"
"Crandallite","Crandallite","CaAl_3_(PO_4_)(PO_3_OH)(OH)_6_","Ca Al P O H"
"Cranswickite","Cranswickite","Mg(SO_4_)·4H_2_O","Mg S^6+ O H"
"Crawfordite","Crawfordite","Na_3_Sr(PO_4_)(CO_3_)","Na Sr P O C"
"Creaseyite","Creaseyite","Cu_2_Pb_2_Fe^3+^_2_Si_5_O_17_·6H_2_O","Cu^2+ Pb^2+ Fe^3+ Si O H"
"Crednerite","Crednerite","CuMnO_2_","Cu^1+ Mn^3+ O"
"Creedite","Creedite","Ca_3_Al_2_(SO_4_)(OH)_2_F_8_·2H_2_O","Ca Al S^6+ O H F"
"Crerarite","Crerarite","(Pt,Pb)Bi_3_(S,Se)_4-x_ (x = 0.4-0-8)","Pt Pb^2+ Bi S^2- Se^2-"
"Crichtonite","Crichtonite","Sr(Mn,Y,U)Fe_2_(Ti,Fe,Cr,V)_18_(O,OH)_38_","Sr Mn^2+ Y^3+ U^6+ Fe^2+ Ti^4+ Fe^3+ Cr^3+ V^5+ O H"
"Criddleite","Criddleite","Ag_2_Au_3_TlSb_10_S_10_","Ag Au Tl Sb S"
"Crimsonite","Crimsonite","PbFe^3+^_2_(PO_4_)_2_(OH)_2_","Pb^2+ Fe^3+ P O H"
"Cristobalite","Cristobalite","SiO_2_","Si O"
"Crocobelonite","Crocobelonite","CaFe^3+^_2_O(PO_4_)_2_","Ca Fe^3+ O P"
"Crocoite","Crocoite","Pb(CrO_4_)","Pb^2+ Cr^6+ O"
"Cronstedtite","Cronstedtite","(Fe^2+^,Fe^3+^)_3_(Si,Fe^3+^)_2_O_5_(OH)_4_","Fe^2+ Fe^3+ Si O H"
"Cronusite","Cronusite","Ca_0.2_CrS_2_·2H_2_O","Ca Cr S H O"
"Crookesite","Crookesite","Cu_7_TlSe_4_","Cu Tl Se"
"Crowningshieldite","Crowningshieldite","(Ni_0.9_Fe_0.1_)S","Ni Fe S"
"Cryobostryxite","Cryobostryxite","KZnCl_3_·2H_2_O","K Zn^2+ Cl H O"
"Cryolite","Cryolite","Na_2_NaAlF_6_","Na Al F"
"Cryolithionite","Cryolithionite","Na_3_Al_2_(LiF_4_)_3_","Na Al Li F"
"Cryptochalcite","Cryptochalcite","K_2_Cu_5_O(SO_4_)_5_","K Cu^2+ O S^6+"
"Cryptohalite","Cryptohalite","(NH_4_)_2_SiF_6_","N^3- H Si F"
"Cryptomelane","Cryptomelane","K(Mn^4+^_7_Mn^3+^)O_16_","K Mn^4+ Mn^3+ O"
"Cryptophyllite","Cryptophyllite","K_2_Ca[Si_4_O_10_]·5H_2_O","K Ca Si O H"
"Cualstibite","Cualstibite","Cu_2_Al(OH)_6_[Sb(OH)_6_]","Cu^2+ Al Sb^5+ O H"
"Cuatrocapaite-(K)","Cuatrocapaite-(K)","K_3_(NaMg[box])(As_2_O_3_)_6_Cl_6_·16H_2_O","K Na Mg As^3+ O Cl H"
"Cuatrocapaite-(NH<sub>4</sub>)","Cuatrocapaite-(NH4)","(NH_4_)_3_(NaMg[box])(As_2_O_3_)_6_Cl_6_·16H_2_O","N^3- H Na Mg As^3+ O Cl"
"Cubanite","Cubanite","CuFe_2_S_3_","Cu^1+ Fe^2+ Fe^3+ S^2-"
"Cuboargyrite","Cuboargyrite","AgSbS_2_","Ag^1+ Sb^3+ S^2-"
"Cubothioplumbite","Cubothioplumbite","[Pb_4_(OH)_4_]Pb(S_2_O_3_)_3_","Pb^2+ O H S"
"Cumengeite","Cumengeite","Pb_21_Cu_20_Cl_42_(OH)_40_·6H_2_O","Pb^2+ Cu^2+ Cl O H"
"Cummingtonite","Cummingtonite","[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_","Mg Si O H"
"Cupalite","Cupalite","CuAl","Cu Al"
"Cuprite","Cuprite","Cu_2_O","Cu^1+ O"
"Cuproauride","Cuproauride","Cu_3_Au","Cu Au"
"Cuprobismutite","Cuprobismutite","Cu_8_AgBi_13_S_24_","Cu^1+ Ag^1+ Bi^3+ S^2-"
"Cuprocopiapite","Cuprocopiapite","Cu^2+^Fe^3+^_4_(SO_4_)_6_(OH)_2_·20H_2_O","Cu^2+ Fe^3+ S^6+ O H"
"Cuprodongchuanite","Cuprodongchuanite","Pb_4_CuZn_2_(PO_4_)_4_(OH)_2_","Pb^2+ Cu^2+ Zn^2+ P O H"
"Cuproiridsite","Cuproiridsite","Cu(Ir^3+^Ir^4+^)S_4_","Cu^1+ Ir^3+ Ir^4+ S^2-"
"Cuprokalininite","Cuprokalininite","Cu(Cr^3+^Cr^4+^)S_4_","Cu^1+ Cr^3+ Cr^4+ S^2-"
"Cupromakopavonite","Cupromakopavonite","Cu_8_Pb_4_Ag_3_Bi_19_S_38_","Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-"
"Cupromakovickyite","Cupromakovickyite","Cu_4_AgPb_2_Bi_9_S_18_","Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-"
"Cupromolybdite","Cupromolybdite","Cu^2+^_3_O(Mo^6+^O_4_)_2_","Cu^2+ O Mo^6+"
"Cuproneyite","Cuproneyite","Cu_7_Pb_27_Bi_25_S_68_","Cu^1+ Pb^2+ Bi^3+ S^2-"
"Cupropavonite","Cupropavonite","Cu_0.9_Ag_0.5_Pb_0.6_Bi_2.5_S_5_","Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-"
"Cupropearceite","Cupropearceite","[Cu_6_As_2_S_7_][Ag_9_CuS_4_]","Cu^1+ As^3+ S^2- Ag^1+"
"Cupropolybasite","Cupropolybasite","[Cu_6_Sb_2_S_7_][Ag_9_CuS_4_]","Cu^1+ Sb^3+ S^2- Ag^1+"
"Cuprorhodsite","Cuprorhodsite","(Cu^1+^_0.5_Fe^3+^_0.5_)Rh^3+^_2_S_4_","Cu^1+ Fe^3+ Rh^3+ S^2-"
"Cuprorivaite","Cuprorivaite","CaCuSi_4_O_10_","Ca Cu^2+ Si O"
"Cuprosklodowskite","Cuprosklodowskite","Cu(UO_2_)_2_(SiO_3_OH)_2_·6H_2_O","Cu^2+ U^6+ O Si H"
"Cuprospinel","Cuprospinel","Cu^2+^Fe^3+^_2_O_4_","Cu^2+ Fe^3+ O"
"Cuprostibite","Cuprostibite","Cu_2_(Sb,Tl)","Cu Sb Tl"
"Cuprotungstite","Cuprotungstite","Cu^2+^_3_(WO_4_)_2_(OH)_2_","Cu^2+ W O H"
"Cuprozheshengite","Cuprozheshengite","Pb_4_CuZn_2_(AsO_4_)_2_(PO_4_)_2_(OH)_2_","Pb^2+ Cu^2+ Zn^2+ As^5+ O P H"
"Curetonite","Curetonite","Ba(Al,Ti)(PO_4_)(OH,O)F","Ba Al Ti^4+ P O H F"
"Curienite","Curienite","Pb(UO_2_)_2_(VO_4_)_2_·5H_2_O","Pb^2+ U^6+ O V^5+ H"
"Curite","Curite","Pb_3+x_[(UO_2_)_4_O_4+x_(OH)_3-x_]_2_·2H_2_O","Pb^2+ U^6+ O H"
"Currierite","Currierite","Na_4_Ca_3_MgAl_4_(AsO_3_OH)_12_·9H_2_O","Na Ca Mg Al As^5+ O H"
"Cuspidine","Cuspidine","Ca_8_(Si_2_O_7_)_2_F_4_","Ca Si O F"
"Cuyaite","Cuyaite","Ca_2_Mn^3+^As^3+^_14_O_24_Cl","Ca Mn^3+ As^3+ O Cl"
"Cuzticite","Cuzticite","Fe^3+^_2_Te^6+^O_6_·3H_2_O","Fe^3+ Te^6+ O H"
"Cyanochroite","Cyanochroite","K_2_Cu(SO_4_)_2_·6H_2_O","K Cu^2+ S^6+ O H"
"Cyanotrichite","Cyanotrichite","Cu_4_Al_2_(SO_4_)(OH)_12_(H_2_O)_2_","Cu^2+ Al S^6+ O H"
"Cylindrite","Cylindrite","FePb_3_Sn_4_Sb_2_S_14_","Fe Pb Sn Sb S"
"Cymrite","Cymrite","Ba(Si,Al)_4_(O,OH)_8_·H_2_O","Ba Si Al O H"
"Cyprine","Cyprine","Ca_19_Cu^2+^(Al,Mg)_12_Si_18_O_69_(OH)_9_","Ca Cu^2+ Al Mg Si O H"
"Cyrilovite","Cyrilovite","NaFe^3+^_3_(PO_4_)_2_(OH)_4_·2H_2_O","Na Fe^3+ P O H"
"Czochralskiite","Czochralskiite","Na_4_Ca_3_Mg(PO_4_)_4_","Na Ca Mg P O"
"Dachiardite-Ca","Dachiardite-Ca","Ca_2_(Si_20_Al_4_)O_48_·13H_2_O","Ca Si Al O H"
"Dachiardite-K","Dachiardite-K","K_4_(Si_20_Al_4_)O_48_·13H_2_O","K Si Al O H"
"Dachiardite-Na","Dachiardite-Na","Na_4_(Si_20_Al_4_)O_48_·13H_2_O","Na Si Al O H"
"Dadsonite","Dadsonite","Pb_23_Sb_25_S_60_Cl","Pb^2+ Sb^3+ S^2- Cl"
"Dagenaisite","Dagenaisite","Zn_3_Te^6+^O_6_","Zn^2+ Te^6+ O"
"Daliranite","Daliranite","PbHgAs_2_S_5_","Pb^2+ Hg^2+ As^3+ S^2-"
"Dalnegorskite","Dalnegorskite","Ca_5_Mn(Si_3_O_9_)_2_","Ca Mn^2+ Si O"
"Dalnegroite","Dalnegroite","Tl_4_Pb_2_(As,Sb)_20_S_34_","Tl^1+ Pb^2+ As^3+ Sb^3+ S^2-"
"Dalyite","Dalyite","K_2_ZrSi_6_O_15_","K Zr^4+ Si O"
"Damaraite","Damaraite","Pb_3_O_2_(OH)Cl","Pb^2+ O H Cl"
"Damiaoite","Damiaoite","PtIn_2_","Pt In"
"Danalite","Danalite","Be_3_Fe^2+^_4_(SiO_4_)_3_S","Be Fe^2+ Si O S^2-"
"Danbaite","Danbaite","CuZn_2_","Cu Zn"
"Danburite","Danburite","CaB_2_Si_2_O_8_","Ca B Si O"
"Danielsite","Danielsite","(Cu,Ag)_14_HgS_8_","Cu Ag Hg S"
"D'ansite","Dansite","Na_21_Mg(SO_4_)_10_Cl_3_","Na Mg S^6+ O Cl"
"D'ansite-(Fe)","Dansite-(Fe)","Na_21_Fe(SO_4_)_10_Cl_3_","Na Fe^2+ S^6+ O Cl"
"D'ansite-(Mn)","Dansite-(Mn)","Na_21_Mn(SO_4_)_10_Cl_3_","Na Mn^2+ S^6+ O Cl"
"Dantopaite","Dantopaite","Ag_5_Bi_13_S_22_","Ag^1+ Bi^3+ S^2-"
"Daomanite","Daomanite","CuPtAsS_2_","Cu Pt As S"
"Daqingshanite-(Ce)","Daqingshanite-(Ce)","Sr_3_Ce(PO_4_)(CO_3_)_3_","Sr Ce P O C"
"Darapiosite","Darapiosite","KNa_2_Mn_2_(Li_2_ZnSi_12_)O_30_","K Na Mn^2+ Li Zn^2+ Si O"
"Darapskite","Darapskite","Na_3_(SO_4_)(NO_3_)·H_2_O","Na S^6+ O N^5+ H"
"Dargaite","Dargaite","BaCa_12_(SiO_4_)_4_(SO_4_)_2_O_3_","Ba Ca Si O S^6+"
"Darrellhenryite","Darrellhenryite","Na(Al_2_Li)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_O","Na Li Al B O Si H"
"Dashkovaite","Dashkovaite","Mg(HCOO)_2_·2H_2_O","Mg H C O"
"Datolite","Datolite","CaB(SiO_4_)(OH)","Ca B Si O H"
"Daubréeite","Daubreeite","BiO(OH)","Bi^3+ O H"
"Daubréelite","Daubreelite","FeCr_2_S_4_","Fe^2+ Cr^3+ S^2-"
"Davanite","Davanite","K_2_TiSi_6_O_15_","K Ti^4+ Si O"
"Davemaoite","Davemaoite","CaSiO_3_","Ca Si O"
"Davidbrownite-(NH<sub>4</sub>)","Davidbrownite-(NH4)","(NH_4_)_5_(V^4+^O)_2_(C_2_O_4_)[PO_2.75_(OH)_1.25_]_4_·3H_2_O","N^3- H V^4+ O C P"
"Davidite-(Ce)","Davidite-(Ce)","Ce(Y,U)Fe_2_(Ti,Fe,Cr,V)_18_(O,OH,F)_38_","Ce^3+ Y^3+ U^4+ Fe^3+ Ti^4+ Cr^3+ V^5+ O H F"
"Davidite-(La)","Davidite-(La)","La(Y,U)Fe_2_(Ti,Fe,Cr,V)_18_(O,OH,F)_38_","La^3+ Y^3+ U^4+ Fe^3+ Ti^4+ Cr^3+ V^5+ O H F"
"Davidlloydite","Davidlloydite","Zn_3_(AsO_4_)_2_·4H_2_O","Zn^2+ As^5+ O H"
"Davidsmithite","Davidsmithite","(Ca,[box])_2_Na_6_Al_8_Si_8_O_32_","Ca Na Al Si O"
"Davinciite","Davinciite","Na_12_K_3_Ca_6_Fe^2+^_3_Zr_3_(Si_26_O_73_OH)Cl_2_","Na K Ca Fe^2+ Zr^4+ Si O H Cl"
"Davisite","Davisite","CaScAlSiO_6_","Ca Sc^3+ Al Si O"
"Davreuxite","Davreuxite","Mn^2+^Al_6_Si_4_O_17_(OH)_2_","Mn^2+ Al Si O H"
"Davyne","Davyne","[(Na,K)_6_(SO_4_)_0.5_Cl][Ca_2_Cl_2_][(Si_6_Al_6_O_24_)]","Na K Ca Si Al O Cl S^6+"
"Dawsonite","Dawsonite","NaAl(CO_3_)(OH)_2_","Na Al C O H"
"Deanesmithite","Deanesmithite","Hg^1+^_2_Hg^2+^_3_S_2_O(CrO_4_)","Hg^1+ Hg^2+ S^2- O Cr^6+"
"Debattistiite","Debattistiite","Ag_9_Hg_0.5_As_6_S_12_Te_2_","Ag Hg As S Te"
"Decagonite","Decagonite","Al_71_Ni_24_Fe_5_","Al Ni Fe"
"Decrespignyite-(Y)","Decrespignyite-(Y)","Y_4_Cu(CO_3_)_4_Cl(OH)_5_·2H_2_O","Y^3+ Cu^2+ C O Cl H"
"Deerite","Deerite","Fe^2+^_6_Fe^3+^_3_(Si_6_O_17_)O_3_(OH)_5_","Fe^2+ Fe^3+ Si O H"
"Defernite","Defernite","Ca_6_(CO_3_)_1.58_(Si_2_O_7_)_0.21_(OH)_7_[Cl_0.50_(OH)_0.08_(H_2_O)_0.42_]","Ca C O Si H Cl"
"Dekatriasartorite","Dekatriasartorite","TlPb_58_As_97_S_204_","Tl^1+ Pb^2+ As^3+ S^2-"
"Delafossite","Delafossite","Cu^1+^Fe^3+^O_2_","Cu^1+ Fe^3+ O"
"Delhayelite","Delhayelite","K_7_Na_3_Ca_5_Al_2_Si_14_O_38_F_4_Cl_2_","K Na Ca Al Si O F Cl"
"Delhuyarite-(Ce)","Delhuyarite-(Ce)","Ce_4_Mg(Fe^3+^_2_W)[box](Si_2_O_7_)_2_O_6_(OH)_2_","Ce^3+ Mg Fe^3+ W^6+ Si O H"
"Deliensite","Deliensite","Fe^2+^(UO_2_)_2_(SO_4_)_2_(OH)_2_·7H_2_O","Fe^2+ U^6+ O S^6+ H"
"Delindeite","Delindeite","Ba_2_Ti_2_(Na_2_[box])Ti(Si_2_O_7_)_2_(OH)_2_(H_2_O)_2_O_2_","Ba Ti^4+ Na Si O H"
"Dellagiustaite","Dellagiustaite","V^2+^Al_2_O_4_","V^2+ Al O"
"Dellaite","Dellaite","Ca_6_(Si_2_O_7_)(SiO_4_)(OH)_2_","Ca Si O H"
"Deloneite","Deloneite","(Na_0.5_REE_0.25_Ca_0.25_)(Ca_0.75_REE_0.25_)Sr_1.5_(CaNa_0.25_REE_0.25_)(PO_4_)_3_F_0.5_(OH)_0.5_","Na REE Ca Sr P O F H"
"Deloryite","Deloryite","Cu_4_(UO_2_)Mo_2_O_8_(OH)_6_","Cu^2+ U^6+ O Mo^6+ H"
"Delrioite","Delrioite","Sr(VO_3_)_2_·4H_2_O","Sr V^5+ O H"
"Deltalumite","Deltalumite","(Al_0.67_[box]_0.33_)Al_2_O_4_","Al O"
"Delvauxite","Delvauxite","CaFe^3+^_4_(PO_4_)_2_(OH)_8_·4-5H_2_O","Ca Fe^3+ P O H"
"Demagistrisite","Demagistrisite","BaCa_2_Mn^3+^_4_(Si_3_O_10_)(Si_2_O_7_)(OH)_4_·3H_2_O","Ba Ca Mn^3+ Si O H"
"Demartinite","Demartinite","K_2_SiF_6_","K Si F"
"Demesmaekerite","Demesmaekerite","Pb_2_Cu_5_(UO_2_)_2_(Se^4+^O_3_)_6_(OH)_6_·2H_2_O","Pb^2+ Cu^2+ U^6+ O Se^4+ H"
"Demicheleite-(Br)","Demicheleite-(Br)","BiSBr","Bi^3+ S^2- Br"
"Demicheleite-(Cl)","Demicheleite-(Cl)","BiSCl","Bi^3+ S^2- Cl"
"Demicheleite-(I)","Demicheleite-(I)","BiSI","Bi^3+ S^2- I^1-"
"Dendoraite-(NH<sub>4</sub>)","Dendoraite-(NH4)","(NH_4_)_2_NaAl(C_2_O_4_)(PO_3_OH)_2_(H_2_O)_2_","N^3- H Na Al C O P"
"Denisovite","Denisovite","KCa_2_Si_3_O_8_F","K Ca Si O F"
"Denningite","Denningite","CaMn^2+^Te^4+^_4_O_10_","Ca Mn^2+ Te^4+ O"
"Depmeierite","Depmeierite","Na_8_[Al_6_Si_6_O_24_](PO_4_,CO_3_)_1-x_·3H_2_O (x< 0.5)","Na Al Si O P C H"
"Derbylite","Derbylite","Fe^3+^_4_Ti^4+^_3_Sb^3+^O_13_(OH)","Fe^3+ Ti^4+ Sb^3+ O H"
"Derriksite","Derriksite","Cu_4_(UO_2_)(Se^4+^O_3_)_2_(OH)_6_","Cu^2+ U^6+ O Se^4+ H"
"Dervillite","Dervillite","Ag_2_AsS_2_","Ag As S"
"Desautelsite","Desautelsite","Mg_6_Mn^3+^_2_(CO_3_)(OH)_16_·4H_2_O","Mg Mn^3+ C O H"
"Descloizite","Descloizite","PbZn(VO_4_)(OH)","Pb^2+ Zn^2+ V^5+ O H"
"Despujolsite","Despujolsite","Ca_3_Mn^4+^(SO_4_)_2_(OH)_6_·3H_2_O","Ca Mn^4+ S^6+ O H"
"Dessauite-(Y)","Dessauite-(Y)","Sr(Y,U,Mn)Fe_2_(Ti,Fe,Cr,V)_18_(O,OH)_38_","Sr^2+ Y^3+ U^4+ Mn^2+ Fe^3+ Ti^4+ Cr^3+ V^5+ O H"
"Destinezite","Destinezite","Fe^3+^_2_(PO_4_)(SO_4_)(OH)·6H_2_O","Fe^3+ P O S^6+ H"
"Deveroite-(Ce)","Deveroite-(Ce)","Ce_2_(C_2_O_4_)_3_·10H_2_O","Ce C O H"
"Devilliersite","Devilliersite","Ca_4_Ca_2_Fe^3+^_10_O_4_[(Fe^3+^_10_Si_2_)O_36_]","Ca Fe^3+ O Si"
"Devilline","Devilline","CaCu_4_(SO_4_)_2_(OH)_6_·3H_2_O","Ca Cu^2+ S^6+ O H"
"Devitoite","Devitoite","Ba_6_Fe^2+^_7_Fe^3+^_2_(Si_4_O_12_)_2_(PO_4_)_2_(CO_3_)O_2_(OH)_4_","Ba Fe^2+ Fe^3+ Si O P C H"
"Dewindtite","Dewindtite","H_2_Pb_3_(UO_2_)_6_O_4_(PO_4_)_4_·12H_2_O","H Pb^2+ U^6+ O P"
"Dewitite","Dewitite","Ag_z_Tl_10-x-z_Pb_2x_Sb_42-x-y_As_y_S_68_ (0.09 ≤ x ≤ 2.13, 13.99 ≤ y ≤ 19.79, 0.10 ≤ z ≤ 0.50)","Ag^1+ Tl Pb^2+ Sb^3+ As^3+ S^2-"
"Deynekoite","Deynekoite","Ca_9_Fe^3+^(PO_4_)_7_","Ca Fe^3+ P O"
"Diaboleite","Diaboleite","CuPb_2_Cl_2_(OH)_4_","Cu^2+ Pb^2+ Cl O H"
"Diadochite","Diadochite","Fe^3+^_2_(PO_4_)(SO_4_)(OH)·6H_2_O","Fe^3+ P O S^6+ H"
"Diamond","Diamond","C","C"
"Diaoyudaoite","Diaoyudaoite","NaAl_11_O_17_","Na Al O"
"Diaphorite","Diaphorite","Ag_3_Pb_2_Sb_3_S_8_","Ag^1+ Pb^2+ Sb^3+ S^2-"
"Diaspore","Diaspore","AlO(OH)","Al O H"
"Dickinsonite-(KMnNa)","Dickinsonite-(KMnNa)","K(NaMn)CaNa_3_AlMn_13_(PO_4_)_12_(OH)_2_","K Na Mn^2+ Ca Al P O H"
"Dickite","Dickite","Al_2_Si_2_O_5_(OH)_4_","Al Si O H"
"Dickthomssenite","Dickthomssenite","MgV_2_O_6_·7H_2_O","Mg V^5+ O H"
"Diegogattaite","Diegogattaite","Na_2_CaCu_2_Si_8_O_20_·H_2_O","Na Ca Cu^2+ Si O H"
"Dienerite","Dienerite","Ni_3_As","Ni As"
"Dietrichite","Dietrichite","ZnAl_2_(SO_4_)_4_·22H_2_O","Zn^2+ Al S^6+ O H"
"Dietzeite","Dietzeite","Ca_2_(IO_3_)_2_(CrO_4_)·H_2_O","Ca I^5+ O Cr^6+ H"
"Digenite","Digenite","Cu_1.8_S","Cu S"
"Dimorphite","Dimorphite","As_4_S_3_","As S"
