"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Chemistry Elements"
"Chernykhite","Chernykhite","BaV2(Si2Al2)O10(OH)2","Ba V Si Al O H"
"Chervetite","Chervetite","Pb2V5+2O7","Pb V O"
"Chesnokovite","Chesnokovite","Na2SiO2(OH)2·8H2O","Na Si O H"
"Chessexite","Chessexite","Na4Ca2Mg3Al8(SiO4)2(SO4)10(OH)10·40H2O","Na Ca Mg Al Si O S H"
"Chesterite","Chesterite","Mg17Si20O54(OH)6","Mg Si O H"
"Chestermanite","Chestermanite","Mg2(Fe3+,Mg,Al,Sb5+)O2(BO3)","Mg Fe Al Sb O B"
"Chevkinite-(Ce)","Chevkinite-(Ce)","Ce4(Ti,Fe2+,Fe3+)5O8(Si2O7)2","Ce Ti Fe O Si"
"Chiappinoite-(Y)","Chiappinoite-(Y)","Y2Mn(Si3O7)4","Y Mn Si O"
"Chiavennite","Chiavennite","CaMn2+(BeOH)2Si5O13·2H2O","Ca Mn Be O H Si"
"Chibaite","Chibaite","SiO2·n(CH4,C2H6,C3H8,C4H10) (nmax = 3/17)","Si O C H"
"Chihmingite","Chihmingite","NiAl2O4","Ni Al O"
"Chihuahuaite","Chihuahuaite","FeAl12O19","Fe Al O"
"Childrenite","Childrenite","Fe2+Al(PO4)(OH)2·H2O","Fe Al P O H"
"Chiluite","Chiluite","Bi3Te6+Mo6+O10.5","Bi Te Mo O"
"Chinchorroite","Chinchorroite","Na2Mg5(As2O7)2(AsO3OH)2(H2O)10","Na Mg As O H"
"Chinleite-(Y)","Chinleite-(Y)","NaY(SO4)2·H2O","Na Y S O H"
"Chiolite","Chiolite","Na5Al3F14","Na Al F"
"Chirvinskyite","Chirvinskyite","(Na,Ca)13(Fe,Mn,[box])2Ti2(Zr,Ti)3(Si2O7)4(OH,O,F)12","Na Ca Fe Mn Ti Zr Si O H F"
"Chistyakovaite","Chistyakovaite","Al(UO2)2(AsO4)2F·6.5H2O","Al U O As F H"
"Chivruaiite","Chivruaiite","Ca4(Ti,Nb)5(Si6O17)2(OH,O)5·13-14H2O","Ca Ti Nb Si O H"
"Chiyokoite","Chiyokoite","Ca3Si(CO3)[B(OH)4]O(OH)5·12H2O","Ca Si C O B H"
"Chkalovite","Chkalovite","Na2BeSi2O6","Na Be Si O"
"Chladniite","Chladniite","Na3CaMg11(PO4)9","Na Ca Mg P O"
"Chloraluminite","Chloraluminite","AlCl3·6H2O","Al Cl H O"
"Chlorapatite","Chlorapatite","Ca5(PO4)3Cl","Ca P O Cl"
"Chlorargyrite","Chlorargyrite","AgCl","Ag Cl"
"Chlorartinite","Chlorartinite","Mg2(CO3)Cl(OH)·2.5H2O","Mg C O Cl H"
"Chlorbartonite","Chlorbartonite","K6Fe24S26Cl","K Fe S Cl"
"Chlorellestadite","Chlorellestadite","Ca5(SiO4)1.5(SO4)1.5Cl","Ca Si O S Cl"
"Chloritoid","Chloritoid","Fe2+Al2O(SiO4)(OH)2","Fe Al O Si H"
"Chlorkyuygenite","Chlorkyuygenite","Ca12Al14O32[(H2O)4Cl2]","Ca Al O H Cl"
"Chlormagaluminite","Chlormagaluminite","Mg4Al2(OH)12Cl2(H2O)2","Mg Al O H Cl"
"Chlormanganokalite","Chlormanganokalite","K4MnCl6","K Mn Cl"
"Chlormayenite","Chlormayenite","Ca12Al14O32[[box]4Cl2]","Ca Al O Cl"
"Chlorocalcite","Chlorocalcite","KCaCl3","K Ca Cl"
"Chloromagnesite","Chloromagnesite","MgCl2","Mg Cl"
"Chloromenite","Chloromenite","Cu9O2(Se4+O3)4Cl6","Cu O Se Cl"
"Chlorophoenicite","Chlorophoenicite","(Mn,Mg,Zn)3Zn2(AsO4)(OH,O)6","Mn Mg Zn As O H"
"Chloro-potassic-ferro-edenite","Chloro-potassic-ferro-edenite","KCa2Fe2+5(Si7Al)O22Cl2","K Ca Fe Si Al O Cl"
"Chlorothionite","Chlorothionite","K2Cu(SO4)Cl2","K Cu S O Cl"
"Chloroxiphite","Chloroxiphite","Pb3CuO2Cl2(OH)2","Pb Cu O Cl H"
"Choloalite","Choloalite","(Pb,Ca)3(Cu,Sb)3Te6O18Cl","Pb Ca Cu Sb Te O Cl"
"Chondrodite","Chondrodite","Mg5(SiO4)2F2","Mg Si O F"
"Chongite","Chongite","Ca3Mg2(AsO4)2(AsO3OH)2·4H2O","Ca Mg As O H"
"Chopinite","Chopinite","Mg3(PO4)2","Mg P O"
"Chovanite","Chovanite","Pb15-2xSb14+2xS36Ox (x~0.2)","Pb Sb S O"
"Chrisstanleyite","Chrisstanleyite","Ag2Pd3Se4","Ag Pd Se"
"Christelite","Christelite","Zn3Cu2(SO4)2(OH)6·4H2O","Zn Cu S O H"
"Christite","Christite","TlHgAsS3","Tl Hg As S"
"Christofschäferite-(Ce)","Christofschaferite-(Ce)","(Ce,La,Ca)4Mn(Ti,Fe)3(Fe,Ti)(Si2O7)2O8","Ce La Ca Mn Ti Fe Si O"
"Chromatite","Chromatite","CaCr6+O4","Ca Cr O"
"Chrombismite","Chrombismite","Bi16CrO27","Bi Cr O"
"Chromceladonite","Chromceladonite","KMgCr(Si4O10)(OH)2","K Mg Cr Si O H"
"Chromferide","Chromferide","Fe1.5Cr0.2","Fe Cr"
"Chromio-pargasite","Chromio-pargasite","NaCa2(Mg4Cr)(Si6Al2)O22(OH)2","Na Ca Mg Cr Si Al O H"
"Chromite","Chromite","Fe2+Cr2O4","Fe Cr O"
"Chromium","Chromium","Cr","Cr"
"Chromium-dravite","Chromium-dravite","NaMg3Cr6(Si6O18)(BO3)3(OH)3(OH)","Na Mg Cr Si O B H"
"Chromo-alumino-povondraite","Chromo-alumino-povondraite","NaCr3(Al4Mg2)(Si6O18)(BO3)3(OH)3O","Na Cr Al Mg Si O B H"
"Chromomphacite","Chromomphacite","(Ca,Na)(Mg,Cr,Al)Si2O6","Ca Na Mg Cr Al Si O"
"Chromphyllite","Chromphyllite","KCr2(AlSi3O10)(OH)2","K Cr Al Si O H"
"Chromschieffelinite","Chromschieffelinite","Pb10Te6+6O20(OH)14(CrO4)(H2O)5","Pb Te O H Cr"
"Chrysoberyl","Chrysoberyl","BeAl2O4","Be Al O"
"Chrysocolla","Chrysocolla","(Cu2-xAlx)H2-xSi2O5(OH)4·nH2O","Cu Al H Si O"
"Chrysothallite","Chrysothallite","K6Cu6Tl3+Cl17(OH)4·H2O","K Cu Tl Cl O H"
"Chrysotile","Chrysotile","Mg3Si2O5(OH)4","Mg Si O H"
"Chubarovite","Chubarovite","KZn2(BO3)Cl2","K Zn B O Cl"
"Chudobaite","Chudobaite","Mg5(AsO4)2(AsO3OH)2·10H2O","Mg As O H"
"Chukanovite","Chukanovite","Fe2(CO3)(OH)2","Fe C O H"
"Chukhrovite-(Ca)","Chukhrovite-(Ca)","Ca3Ca1.5Al2(SO4)F13·12H2O","Ca Al S O F H"
"Chukhrovite-(Ce)","Chukhrovite-(Ce)","Ca3CeAl2(SO4)F13·12H2O","Ca Ce Al S O F H"
"Chukhrovite-(Nd)","Chukhrovite-(Nd)","Ca3NdAl2(SO4)F13·12H2O","Ca Nd Al S O F H"
"Chukhrovite-(Y)","Chukhrovite-(Y)","Ca3YAl2(SO4)F13·12H2O","Ca Y Al S O F H"
"Chukochenite","Chukochenite","(Li0.5Al0.5)Al2O4","Li Al O"
"Chukotkaite","Chukotkaite","AgPb7Sb5S15","Ag Pb Sb S"
"Churchite-(Nd)","Churchite-(Nd)","NdPO4·2H2O","Nd P O H"
"Churchite-(Y)","Churchite-(Y)","Y(PO4)·2H2O","Y P O H"
"Chursinite","Chursinite","Hg1+Hg2+(AsO4)","Hg As O"
"Chvaleticeite","Chvaleticeite","Mn(SO4)·6H2O","Mn S O H"
"Chvilevaite","Chvilevaite","Na(Cu,Fe,Zn)2S2","Na Cu Fe Zn S"
"Cianciulliite","Cianciulliite","Mg2Mn2+Zn2(OH)10·2-4H2O","Mg Mn Zn O H"
"Cinnabar","Cinnabar","HgS","Hg S"
"Ciprianiite","Ciprianiite","Ca4(ThCa)Al(Be0.5[box]1.5)Σ2[B4Si4O22](OH)2","Ca Th Al Be B Si O H"
"Ciriottiite","Ciriottiite","Cu4Pb19(Sb,As,Bi)22(As2)S56","Cu Pb Sb As Bi S"
"Cirrolite","Cirrolite","Ca3Al2(PO4)3(OH)3","Ca Al P O H"
"Clairite","Clairite","(NH4)2Fe3+3(SO4)4(OH)3·3H2O","N H Fe S O"
"Claraite","Claraite","(Cu,Zn)15(CO3)4(AsO4)2(SO4)(OH)14·7H2O","Cu Zn C O As S H"
"Claringbullite","Claringbullite","Cu2+4FCl(OH)6","Cu F Cl O H"
"Clarkeite","Clarkeite","Na(UO2)O(OH)·nH2O","Na U O H"
"Claudetite","Claudetite","As2O3","As O"
"Clausthalite","Clausthalite","PbSe","Pb Se"
"Clearcreekite","Clearcreekite","Hg1+3(CO3)(OH)·2H2O","Hg C O H"
"Clerite","Clerite","MnSb2S4","Mn Sb S"
"Cleusonite","Cleusonite","Pb(U4+,U6+)Fe2+2(Ti,Fe2+,Fe3+)18(O,OH)38","Pb U Fe Ti O H"
"Cliffordite","Cliffordite","UTe4+3O9","U Te O"
"Clinoatacamite","Clinoatacamite","Cu2Cl(OH)3","Cu Cl O H"
"Clinobarylite","Clinobarylite","BaBe2Si2O7","Ba Be Si O"
"Clinobehoite","Clinobehoite","Be(OH)2","Be O H"
"Clinobisvanite","Clinobisvanite","Bi(VO4)","Bi V O"
"Clinocervantite","Clinocervantite","Sb3+Sb5+O4","Sb O"
"Clinochalcomenite","Clinochalcomenite","CuSe4+O3·2H2O","Cu Se O H"
"Clinochlore","Clinochlore","Mg5Al(AlSi3O10)(OH)8","Mg Al Si O H"
"Clinoclase","Clinoclase","Cu3(AsO4)(OH)3","Cu As O H"
"Clinoenstatite","Clinoenstatite","Mg2Si2O6","Mg Si O"
"Clino-ferri-holmquistite","Clino-ferri-holmquistite","[box]Li2(Mg3Fe3+2)Si8O22(OH)2","Li Mg Fe Si O H"
"Clino-ferro-ferri-holmquistite","Clino-ferro-ferri-holmquistite","[box]Li2(Fe2+3Fe3+2)Si8O22(OH)2","Li Fe Si O H"
"Clinoferroholmquistite","Clinoferroholmquistite","[box]Li2[Fe2+3Al2]Si8O22(OH,F)2","Li Fe Al Si O H F"
"Clinoferrosilite","Clinoferrosilite","Fe2+2Si2O6","Fe Si O"
"Clinohedrite","Clinohedrite","CaZn(SiO4)·H2O","Ca Zn Si O H"
"Clinohumite","Clinohumite","Mg9(SiO4)4F2","Mg Si O F"
"Clinojimthompsonite","Clinojimthompsonite","Mg5Si6O16(OH)2","Mg Si O H"
"Clinokurchatovite","Clinokurchatovite","CaMgB2O5","Ca Mg B O"
"Clinometaborite","Clinometaborite","HBO2","H B O"
"Clino-oscarkempffite","Clino-oscarkempffite","Ag15Pb6Sb21Bi18S72","Ag Pb Sb Bi S"
"Clinophosinaite","Clinophosinaite","Na3Ca(SiO3)(PO4)","Na Ca Si O P"
"Clinoptilolite-Ca","Clinoptilolite-Ca","Ca3(Si30Al6)O72·20H2O","Ca Si Al O H"
"Clinoptilolite-K","Clinoptilolite-K","K6(Si30Al6)O72·20H2O","K Si Al O H"
"Clinoptilolite-Na","Clinoptilolite-Na","Na6(Si30Al6)O72·20H2O","Na Si Al O H"
"Clinosafflorite","Clinosafflorite","CoAs2","Co As"
"Clino-suenoite","Clino-suenoite","[box]Mn2+2Mg5Si8O22(OH)2","Mn Mg Si O H"
"Clinotobermorite","Clinotobermorite","Ca4Si6O17(H2O)2·(Ca·3H2O)","Ca Si O H"
"Clinotyrolite","Clinotyrolite","Ca2Cu9(AsO4,SO4)4(OH,O)10·10H2O","Ca Cu As O S H"
"Clinoungemachite","Clinoungemachite","K3Na8Fe3+(SO4)6(OH)2·10H2O","K Na Fe S O H"
"Clinozoisite","Clinozoisite","Ca2Al3[Si2O7][SiO4]O(OH)","Ca Al Si O H"
"Clintonite","Clintonite","CaAlMg2(SiAl3O10)(OH)2","Ca Al Mg Si O H"
"Cloncurryite","Cloncurryite","Cu0.5(VO)0.5Al2(PO4)2F2·5H2O","Cu V O Al P F H"
"CO3-SO4 - hydrotalcite - 18.5Å","CO3-SO4 - hydrotalcite - 18.5A","Mg8Al4(OH)24·Na0.5(SO4)1.25CO3·9H2O","Mg Al O H Na S C"
"Coalingite","Coalingite","Mg10Fe3+2(CO3)(OH)24·2H2O","Mg Fe C O H"
"Cobaltarthurite","Cobaltarthurite","CoFe3+2(AsO4)2(OH)2·4H2O","Co Fe As O H"
"Cobaltaustinite","Cobaltaustinite","CaCo(AsO4)(OH)","Ca Co As O H"
"Cobaltite","Cobaltite","CoAsS","Co As S"
"Cobaltkieserite","Cobaltkieserite","Co(SO4)·H2O","Co S O H"
"Cobaltkoritnigite","Cobaltkoritnigite","Co(AsO3OH)·H2O","Co As O H"
"Cobaltlotharmeyerite","Cobaltlotharmeyerite","CaCo2(AsO4)2·2H2O","Ca Co As O H"
"Cobaltneustädtelite","Cobaltneustadtelite","Bi2Fe3+(Co,Fe3+)(AsO4)2(O,OH)4","Bi Fe Co As O H"
"Cobaltoblödite","Cobaltoblodite","Na2Co(SO4)2·4H2O","Na Co S O H"
"Cobaltogordaite","Cobaltogordaite","NaCo4(SO4)(OH)6Cl·6H2O","Na Co S O H Cl"
"Cobaltomenite","Cobaltomenite","Co(Se4+O3)·2H2O","Co Se O H"
"Cobaltpentlandite","Cobaltpentlandite","Co9S8","Co S"
"Cobalttsumcorite","Cobalttsumcorite","PbCo2(AsO4)2·2H2O","Pb Co As O H"
"Cobaltzippeite","Cobaltzippeite","Co(UO2)2(SO4)O2·3.5H2O","Co U O S H"
"Coccinite","Coccinite","HgI2","Hg I"
"Cochromite","Cochromite","CoCr2O4","Co Cr O"
"Coconinoite","Coconinoite","Fe3+2Al2(UO2)2(PO4)4(SO4)(OH)2·20H2O","Fe Al U O P S H"
"Coesite","Coesite","SiO2","Si O"
"Coffinite","Coffinite","U(SiO4)·nH2O","U Si O H"
"Cohenite","Cohenite","CFe3","C Fe"
"Coiraite","Coiraite","(Pb,Sn)12.5As3Sn5FeS28","Pb Sn As Fe S"
"Coldwellite","Coldwellite","Pd3Ag2S","Pd Ag S"
"Colemanite","Colemanite","CaB3O4(OH)3·H2O","Ca B O H"
"Colimaite","Colimaite","K3VS4","K V S"
"Colinowensite","Colinowensite","BaCuSi2O6","Ba Cu Si O"
"Collinsite","Collinsite","Ca2Mg(PO4)2·2H2O","Ca Mg P O H"
"Colomeraite","Colomeraite","NaTi3+Si2O6","Na Ti Si O"
"Coloradoite","Coloradoite","HgTe","Hg Te"
"Colquiriite","Colquiriite","CaLiAlF6","Ca Li Al F"
"Columbite-(Fe)","Columbite-(Fe)","Fe2+Nb2O6","Fe Nb O"
"Columbite-(Mg)","Columbite-(Mg)","MgNb2O6","Mg Nb O"
"Columbite-(Mn)","Columbite-(Mn)","Mn2+Nb2O6","Mn Nb O"
"Colusite","Colusite","Cu13VAs3S16","Cu V As S"
"Comancheite","Comancheite","Hg2+55N3-24(NH2,OH)4(Cl,Br)34","Hg N H O Cl Br"
"Combeite","Combeite","Na4.5Ca3.5Si6O17.5(OH)0.5","Na Ca Si O H"
"Comblainite","Comblainite","Ni4Co3+2(CO3)(OH)12·3H2O","Ni Co C O H"
"Compreignacite","Compreignacite","K2(UO2)6O4(OH)6·7H2O","K U O H"
"Congolite","Congolite","Fe2+3B7O13Cl","Fe B O Cl"
"Conichalcite","Conichalcite","CaCu(AsO4)(OH)","Ca Cu As O H"
"Connellite","Connellite","Cu36(SO4)(OH)62Cl8·6H2O","Cu S O H Cl"
"Cookeite","Cookeite","(Al,Li)3Al2(Si,Al)4O10(OH)8","Al Li Si O H"
"Coombsite","Coombsite","KMn2+13(Si,Al)18O42(OH)14","K Mn Si Al O H"
"Cooperite","Cooperite","PtS","Pt S"
"Coparsite","Coparsite","Cu2+4O2(AsO4)Cl","Cu O As Cl"
"Copiapite","Copiapite","Fe2+Fe3+4(SO4)6(OH)2·20H2O","Fe S O H"
"Copper","Copper","Cu","Cu"
"Coquandite","Coquandite","Sb3+6+xO8+x(SO4)(OH)x(H2O)1-x (x = 0.3)","Sb O S H"
"Coquimbite","Coquimbite","AlFe3(SO4)6(H2O)12·6H2O","Al Fe S O H"
"Coralloite","Coralloite","Mn2+Mn3+2(AsO4)2(OH)2·4H2O","Mn As O H"
"Corderoite","Corderoite","Hg3S2Cl2","Hg S Cl"
"Cordierite","Cordierite","Mg2Al4Si5O18","Mg Al Si O"
"Cordylite-(Ce)","Cordylite-(Ce)","(Na,Ca,[box])BaCe2(CO3)4(F,O)","Na Ca Ba Ce C O F"
"Cordylite-(La)","Cordylite-(La)","NaCaBa2La3Sr(CO3)8F2","Na Ca Ba La Sr C O F"
"Corkite","Corkite","PbFe3+3(SO4)(PO4)(OH)6","Pb Fe S O P H"
"Cornetite","Cornetite","Cu3(PO4)(OH)3","Cu P O H"
"Cornubite","Cornubite","Cu5(AsO4)2(OH)4","Cu As O H"
"Cornwallite","Cornwallite","Cu5(AsO4)2(OH)4","Cu As O H"
"Coronadite","Coronadite","Pb(Mn4+6Mn3+2)O16","Pb Mn O"
"Correianevesite","Correianevesite","Fe2+Mn2+2(PO4)2·3H2O","Fe Mn P O H"
"Corrensite","Corrensite","(Ca,Na,K)1-x(Mg,Fe,Al)9(Si,Al)8O20(OH)10·nH2O","Ca Na K Mg Fe Al Si O H"
"Cortesognoite","Cortesognoite","CaV2Si2O7(OH)2·H2O","Ca V Si O H"
"Corundum","Corundum","Al2O3","Al O"
"Corvusite","Corvusite","(Na,Ca,K)1-x(V5+,V4+,Fe2+)8O20·4H2O","Na Ca K V Fe O H"
"Cosalite","Cosalite","Pb2Bi2S5","Pb Bi S"
"Coskrenite-(Ce)","Coskrenite-(Ce)","Ce2(SO4)2(C2O4)·8H2O","Ce S O C H"
"Cossaite","Cossaite","(Mg0.5,[box])Al6(SO4)6(HSO4)F6·36H2O","Mg Al S O H F"
"Costibite","Costibite","CoSbS","Co Sb S"
"Cotunnite","Cotunnite","PbCl2","Pb Cl"
"Coulsonite","Coulsonite","Fe2+V3+2O4","Fe V O"
"Cousinite","Cousinite","MgU4+2(MoO4)2(OH)6·2H2O (?)","Mg U Mo O H"
"Coutinhoite","Coutinhoite","ThxBa1-2x(UO2)2Si5O13·3H2O","Th Ba U O Si H"
"Covellite","Covellite","CuS","Cu S"
"Cowlesite","Cowlesite","Ca(Al2Si3)O10·5-6H2O","Ca Al Si O H"
"Coyoteite","Coyoteite","NaFe3S5·2H2O","Na Fe S H O"
"Crandallite","Crandallite","CaAl3(PO4)(PO3OH)(OH)6","Ca Al P O H"
"Cranswickite","Cranswickite","Mg(SO4)·4H2O","Mg S O H"
"Crawfordite","Crawfordite","Na3Sr(PO4)(CO3)","Na Sr P O C"
"Creaseyite","Creaseyite","Cu2Pb2Fe3+2Si5O17·6H2O","Cu Pb Fe Si O H"
"Crednerite","Crednerite","CuMnO2","Cu Mn O"
"Creedite","Creedite","Ca3Al2(SO4)(OH)2F8·2H2O","Ca Al S O H F"
"Crerarite","Crerarite","(Pt,Pb)Bi3(S,Se)4-x (x = 0.4-0-8)","Pt Pb Bi S Se"
"Crichtonite","Crichtonite","Sr(Mn,Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH)38","Sr Mn Y U Fe Ti Cr V O H"
"Criddleite","Criddleite","Ag2Au3TlSb10S10","Ag Au Tl Sb S"
"Crimsonite","Crimsonite","PbFe3+2(PO4)2(OH)2","Pb Fe P O H"
"Cristobalite","Cristobalite","SiO2","Si O"
"Crocobelonite","Crocobelonite","CaFe3+2O(PO4)2","Ca Fe O P"
"Crocoite","Crocoite","Pb(CrO4)","Pb Cr O"
"Cronstedtite","Cronstedtite","(Fe2+,Fe3+)3(Si,Fe3+)2O5(OH)4","Fe Si O H"
"Cronusite","Cronusite","Ca0.2CrS2·2H2O","Ca Cr S H O"
"Crookesite","Crookesite","Cu7TlSe4","Cu Tl Se"
"Crowningshieldite","Crowningshieldite","(Ni0.9Fe0.1)S","Ni Fe S"
"Cryobostryxite","Cryobostryxite","KZnCl3·2H2O","K Zn Cl H O"
"Cryolite","Cryolite","Na2NaAlF6","Na Al F"
"Cryolithionite","Cryolithionite","Na3Al2(LiF4)3","Na Al Li F"
"Cryptochalcite","Cryptochalcite","K2Cu5O(SO4)5","K Cu O S"
"Cryptohalite","Cryptohalite","(NH4)2SiF6","N H Si F"
"Cryptomelane","Cryptomelane","K(Mn4+7Mn3+)O16","K Mn O"
"Cryptophyllite","Cryptophyllite","K2Ca[Si4O10]·5H2O","K Ca Si O H"
"Cualstibite","Cualstibite","Cu2Al(OH)6[Sb(OH)6]","Cu Al O H Sb"
"Cuatrocapaite-(K)","Cuatrocapaite-(K)","K3(NaMg[box])(As2O3)6Cl6·16H2O","K Na Mg As O Cl H"
"Cuatrocapaite-(NH<sub>4</sub>)","Cuatrocapaite-(NH4)","(NH4)3(NaMg[box])(As2O3)6Cl6·16H2O","N H Na Mg As O Cl"
"Cubanite","Cubanite","CuFe2S3","Cu Fe S"
"Cuboargyrite","Cuboargyrite","AgSbS2","Ag Sb S"
"Cubothioplumbite","Cubothioplumbite","[Pb4(OH)4]Pb(S2O3)3","Pb O H S"
"Cumengeite","Cumengeite","Pb21Cu20Cl42(OH)40·6H2O","Pb Cu Cl O H"
"Cummingtonite","Cummingtonite","[box]Mg2Mg5Si8O22(OH)2","Mg Si O H"
"Cupalite","Cupalite","CuAl","Cu Al"
"Cuprite","Cuprite","Cu2O","Cu O"
"Cuproauride","Cuproauride","Cu3Au","Cu Au"
"Cuprobismutite","Cuprobismutite","Cu8AgBi13S24","Cu Ag Bi S"
"Cuprocopiapite","Cuprocopiapite","Cu2+Fe3+4(SO4)6(OH)2·20H2O","Cu Fe S O H"
"Cuprodongchuanite","Cuprodongchuanite","Pb4CuZn2(PO4)4(OH)2","Pb Cu Zn P O H"
"Cuproiridsite","Cuproiridsite","Cu(Ir3+Ir4+)S4","Cu Ir S"
"Cuprokalininite","Cuprokalininite","Cu(Cr3+Cr4+)S4","Cu Cr S"
"Cupromakopavonite","Cupromakopavonite","Cu8Pb4Ag3Bi19S38","Cu Pb Ag Bi S"
"Cupromakovickyite","Cupromakovickyite","Cu4AgPb2Bi9S18","Cu Ag Pb Bi S"
"Cupromolybdite","Cupromolybdite","Cu2+3O(Mo6+O4)2","Cu O Mo"
"Cuproneyite","Cuproneyite","Cu7Pb27Bi25S68","Cu Pb Bi S"
"Cupropavonite","Cupropavonite","Cu0.9Ag0.5Pb0.6Bi2.5S5","Cu Ag Pb Bi S"
"Cupropearceite","Cupropearceite","[Cu6As2S7][Ag9CuS4]","Cu As S Ag"
"Cupropolybasite","Cupropolybasite","[Cu6Sb2S7][Ag9CuS4]","Cu Sb S Ag"
"Cuprorhodsite","Cuprorhodsite","(Cu1+0.5Fe3+0.5)Rh3+2S4","Cu Fe Rh S"
"Cuprorivaite","Cuprorivaite","CaCuSi4O10","Ca Cu Si O"
"Cuprosklodowskite","Cuprosklodowskite","Cu(UO2)2(SiO3OH)2·6H2O","Cu U O Si H"
"Cuprospinel","Cuprospinel","Cu2+Fe3+2O4","Cu Fe O"
"Cuprostibite","Cuprostibite","Cu2(Sb,Tl)","Cu Sb Tl"
"Cuprotungstite","Cuprotungstite","Cu2+3(WO4)2(OH)2","Cu W O H"
"Cuprozheshengite","Cuprozheshengite","Pb4CuZn2(AsO4)2(PO4)2(OH)2","Pb Cu Zn As O P H"
"Curetonite","Curetonite","Ba(Al,Ti)(PO4)(OH,O)F","Ba Al Ti P O H F"
"Curienite","Curienite","Pb(UO2)2(VO4)2·5H2O","Pb U O V H"
"Curite","Curite","Pb3+x[(UO2)4O4+x(OH)3-x]2·2H2O","Pb U O H"
"Currierite","Currierite","Na4Ca3MgAl4(AsO3OH)12·9H2O","Na Ca Mg Al As O H"
"Cuspidine","Cuspidine","Ca8(Si2O7)2F4","Ca Si O F"
"Cuyaite","Cuyaite","Ca2Mn3+As3+14O24Cl","Ca Mn As O Cl"
"Cuzticite","Cuzticite","Fe3+2Te6+O6·3H2O","Fe Te O H"
"Cyanochroite","Cyanochroite","K2Cu(SO4)2·6H2O","K Cu S O H"
"Cyanophyllite","Cyanophyllite","Cu5Al2Sb3+3O12(OH)·12H2O","Cu Al Sb O H"
"Cyanotrichite","Cyanotrichite","Cu4Al2(SO4)(OH)12(H2O)2","Cu Al S O H"
"Cylindrite","Cylindrite","FePb3Sn4Sb2S14","Fe Pb Sn Sb S"
"Cymrite","Cymrite","Ba(Si,Al)4(O,OH)8·H2O","Ba Si Al O H"
"Cyprine","Cyprine","Ca19Cu2+(Al,Mg)12Si18O69(OH)9","Ca Cu Al Mg Si O H"
"Cyrilovite","Cyrilovite","NaFe3+3(PO4)2(OH)4·2H2O","Na Fe P O H"
"Czochralskiite","Czochralskiite","Na4Ca3Mg(PO4)4","Na Ca Mg P O"
"Dachiardite-Ca","Dachiardite-Ca","Ca2(Si20Al4)O48·13H2O","Ca Si Al O H"
"Dachiardite-K","Dachiardite-K","K4(Si20Al4)O48·13H2O","K Si Al O H"
"Dachiardite-Na","Dachiardite-Na","Na4(Si20Al4)O48·13H2O","Na Si Al O H"
"Dadsonite","Dadsonite","Pb23Sb25S60Cl","Pb Sb S Cl"
"Dagenaisite","Dagenaisite","Zn3Te6+O6","Zn Te O"
"Daliranite","Daliranite","PbHgAs2S5","Pb Hg As S"
"Dalnegorskite","Dalnegorskite","Ca5Mn(Si3O9)2","Ca Mn Si O"
"Dalnegroite","Dalnegroite","Tl4Pb2(As,Sb)20S34","Tl Pb As Sb S"
"Dalyite","Dalyite","K2ZrSi6O15","K Zr Si O"
"Damaraite","Damaraite","Pb3O2(OH)Cl","Pb O H Cl"
"Damiaoite","Damiaoite","PtIn2","Pt In"
"Danalite","Danalite","Be3Fe2+4(SiO4)3S","Be Fe Si O S"
"Danbaite","Danbaite","CuZn2","Cu Zn"
"Danburite","Danburite","CaB2Si2O8","Ca B Si O"
"Danielsite","Danielsite","(Cu,Ag)14HgS8","Cu Ag Hg S"
"D'ansite","Dansite","Na21Mg(SO4)10Cl3","Na Mg S O Cl"
"D'ansite-(Fe)","Dansite-(Fe)","Na21Fe(SO4)10Cl3","Na Fe S O Cl"
"D'ansite-(Mn)","Dansite-(Mn)","Na21Mn(SO4)10Cl3","Na Mn S O Cl"
"Dantopaite","Dantopaite","Ag5Bi13S22","Ag Bi S"
"Daomanite","Daomanite","CuPtAsS2","Cu Pt As S"
"Daqingshanite-(Ce)","Daqingshanite-(Ce)","Sr3Ce(PO4)(CO3)3","Sr Ce P O C"
"Darapiosite","Darapiosite","KNa2Mn2(Li2ZnSi12)O30","K Na Mn Li Zn Si O"
"Darapskite","Darapskite","Na3(SO4)(NO3)·H2O","Na S O N H"
"Dargaite","Dargaite","BaCa12(SiO4)4(SO4)2O3","Ba Ca Si O S"
"Darrellhenryite","Darrellhenryite","Na(Al2Li)Al6(Si6O18)(BO3)3(OH)3O","Na Al Li Si O B H"
"Dashkovaite","Dashkovaite","Mg(HCOO)2·2H2O","Mg H C O"
"Datolite","Datolite","CaB(SiO4)(OH)","Ca B Si O H"
"Daubréeite","Daubreeite","BiO(OH)","Bi O H"
"Daubréelite","Daubreelite","FeCr2S4","Fe Cr S"
"Davanite","Davanite","K2TiSi6O15","K Ti Si O"
"Davemaoite","Davemaoite","CaSiO3","Ca Si O"
"Davidbrownite-(NH<sub>4</sub>)","Davidbrownite-(NH4)","(NH4)5(V4+O)2(C2O4)[PO2.75(OH)1.25]4·3H2O","N H V O C P"
