Mineral Name,Mineral Name (plain),IMA Chemistry (concise),Chemistry Elements,URL
Fluorcaphite,Fluorcaphite,SrCaCa_3_(PO_4_)_3_F,Sr Ca P O F,https://www.mindat.org/search.php?search=Fluorcaphite
Fluorcarletonite,Fluorcarletonite,KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_F·H_2_O,K Na Ca Si O C F H,https://www.mindat.org/search.php?search=Fluorcarletonite
Fluorcarmoite-(BaNa),Fluorcarmoite-(BaNa),Ba[box]Na_2_Na_2_[box]CaMg_13_Al(PO_4_)_11_(PO_3_OH)F_2_,Ba Na Ca Mg Al P O H F,https://www.mindat.org/search.php?search=Fluorcarmoite-(BaNa)
Fluorchegemite,Fluorchegemite,Ca_7_(SiO_4_)_3_F_2_,Ca Si O F,https://www.mindat.org/search.php?search=Fluorchegemite
Fluor-dravite,Fluor-dravite,NaMg_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F,Na Mg Al Si O B H F,https://www.mindat.org/search.php?search=Fluor-dravite
Fluor-elbaite,Fluor-elbaite,Na(Li_1.5_Al_1.5_)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F,Na Li Al Si O B H F,https://www.mindat.org/search.php?search=Fluor-elbaite
Fluorellestadite,Fluorellestadite,Ca_5_(SiO_4_)_1.5_(SO_4_)_1.5_F,Ca Si O S F,https://www.mindat.org/search.php?search=Fluorellestadite
Fluorite,Fluorite,CaF_2_,Ca F,https://www.mindat.org/search.php?search=Fluorite
Fluorkyuygenite,Fluorkyuygenite,Ca_12_Al_14_O_32_[(H_2_O)_4_F_2_],Ca Al O H F,https://www.mindat.org/search.php?search=Fluorkyuygenite
Fluorlamprophyllite,Fluorlamprophyllite,(SrNa)Ti_2_Na_3_Ti(Si_2_O_7_)_2_O_2_F_2_,Sr Na Ti Si O F,https://www.mindat.org/search.php?search=Fluorlamprophyllite
Fluor-liddicoatite,Fluor-liddicoatite,Ca(Li_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F,Ca Li Al Si O B H F,https://www.mindat.org/search.php?search=Fluor-liddicoatite
Fluorluanshiweiite,Fluorluanshiweiite,KLiAl_1.5_[box]_0.5_(Si_3.5_Al_0.5_)O_10_F_2_,K Li Al Si O F,https://www.mindat.org/search.php?search=Fluorluanshiweiite
Fluormayenite,Fluormayenite,Ca_12_Al_14_O_32_[[box]_4_F_2_],Ca Al O F,https://www.mindat.org/search.php?search=Fluormayenite
Fluornatrocoulsellite,Fluornatrocoulsellite,(Na_1.5_Ca_0.5_)(Mg_1.5_Al_0.5_)F_6_F,Na Ca Mg Al F,https://www.mindat.org/search.php?search=Fluornatrocoulsellite
Fluornatromicrolite,Fluornatromicrolite,(Na_1.5_Bi_0.5_)Ta_2_O_6_F,Na Bi Ta O F,https://www.mindat.org/search.php?search=Fluornatromicrolite
Fluornatropyrochlore,Fluornatropyrochlore,"(Na,Pb,Ca,REE,U)_2_Nb_2_O_6_F",Na Pb Ca REE U Nb O F,https://www.mindat.org/search.php?search=Fluornatropyrochlore
Fluoro-cannilloite,Fluoro-cannilloite,CaCa_2_(Mg_4_Al)(Si_5_Al_3_)O_22_F_2_,Ca Mg Al Si O F,https://www.mindat.org/search.php?search=Fluoro-cannilloite
Fluorocronite,Fluorocronite,PbF_2_,Pb F,https://www.mindat.org/search.php?search=Fluorocronite
Fluoro-edenite,Fluoro-edenite,NaCa_2_Mg_5_(Si_7_Al)O_22_F_2_,Na Ca Mg Si Al O F,https://www.mindat.org/search.php?search=Fluoro-edenite
Fluorokinoshitalite,Fluorokinoshitalite,BaMg_3_Al_2_Si_2_O_10_F_2_,Ba Mg Al Si O F,https://www.mindat.org/search.php?search=Fluorokinoshitalite
Fluoro-leakeite,Fluoro-leakeite,NaNa_2_(Mg_2_Al_2_Li)Si_8_O_22_F_2_,Na Mg Al Li Si O F,https://www.mindat.org/search.php?search=Fluoro-leakeite
Fluoro-nybøite,Fluoro-nyboite,NaNa_2_(Mg_3_Al_2_)(Si_7_Al)O_22_F_2_,Na Mg Al Si O F,https://www.mindat.org/search.php?search=Fluoro-nyboite
Fluoro-pargasite,Fluoro-pargasite,NaCa_2_(Mg_4_Al)(Si_6_Al_2_)O_22_F_2_,Na Ca Mg Al Si O F,https://www.mindat.org/search.php?search=Fluoro-pargasite
Fluoro-pedrizite,Fluoro-pedrizite,NaLi_2_(Mg_2_Al_2_Li)Si_8_O_22_F_2_,Na Li Mg Al Si O F,https://www.mindat.org/search.php?search=Fluoro-pedrizite
Fluorophlogopite,Fluorophlogopite,KMg_3_(Si_3_Al)O_10_F_2_,K Mg Si Al O F,https://www.mindat.org/search.php?search=Fluorophlogopite
Fluoro-richterite,Fluoro-richterite,Na(NaCa)Mg_5_Si_8_O_22_F_2_,Na Ca Mg Si O F,https://www.mindat.org/search.php?search=Fluoro-richterite
Fluoro-riebeckite,Fluoro-riebeckite,[box]Na_2_(Fe^2+^_3_Fe^3+^_2_)Si_8_O_22_F_2_,Na Fe Si O F,https://www.mindat.org/search.php?search=Fluoro-riebeckite
Fluoro-taramite,Fluoro-taramite,Na(NaCa)(Mg_3_Al_2_)(Si_6_Al_2_)O_22_F_2_,Na Ca Mg Al Si O F,https://www.mindat.org/search.php?search=Fluoro-taramite
Fluorotetraferriphlogopite,Fluorotetraferriphlogopite,KMg_3_Fe^3+^Si_3_O_10_F_2_,K Mg Fe Si O F,https://www.mindat.org/search.php?search=Fluorotetraferriphlogopite
Fluoro-tremolite,Fluoro-tremolite,[box]Ca_2_Mg_5_Si_8_O_22_F_2_,Ca Mg Si O F,https://www.mindat.org/search.php?search=Fluoro-tremolite
Fluorowardite,Fluorowardite,NaAl_3_(PO_4_)_2_(OH)_2_F_2_·2H_2_O,Na Al P O H F,https://www.mindat.org/search.php?search=Fluorowardite
Fluorphosphohedyphane,Fluorphosphohedyphane,Ca_2_Pb_3_(PO_4_)_3_F,Ca Pb P O F,https://www.mindat.org/search.php?search=Fluorphosphohedyphane
Fluorpyromorphite,Fluorpyromorphite,Pb_5_(PO_4_)_3_F,Pb P O F,https://www.mindat.org/search.php?search=Fluorpyromorphite
Fluor-schorl,Fluor-schorl,NaFe^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F,Na Fe Al Si O B H F,https://www.mindat.org/search.php?search=Fluor-schorl
Fluorsigaiite,Fluorsigaiite,Ca_2_Sr_3_(PO_4_)_3_F,Ca Sr P O F,https://www.mindat.org/search.php?search=Fluorsigaiite
Fluorstrophite,Fluorstrophite,SrCaSr_3_(PO_4_)_3_F,Sr Ca P O F,https://www.mindat.org/search.php?search=Fluorstrophite
Fluor-tsilaisite,Fluor-tsilaisite,NaMn^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F,Na Mn Al Si O B H F,https://www.mindat.org/search.php?search=Fluor-tsilaisite
Fluor-uvite,Fluor-uvite,CaMg_3_(Al_5_Mg)(Si_6_O_18_)(BO_3_)_3_(OH)_3_F,Ca Mg Al Si O B H F,https://www.mindat.org/search.php?search=Fluor-uvite
Fluorvesuvianite,Fluorvesuvianite,"Ca_19_(Al,Mg)_13_(SiO_4_)_10_(Si_2_O_7_)_4_O(F,OH)_9_",Ca Al Mg Si O F H,https://www.mindat.org/search.php?search=Fluorvesuvianite
Fluorwavellite,Fluorwavellite,Al_3_(PO_4_)_2_(OH)_2_F·5H_2_O,Al P O H F,https://www.mindat.org/search.php?search=Fluorwavellite
Flurlite,Flurlite,Zn^2+^Zn^2+^_3_Fe^3+^(PO_4_)_3_(OH)_2_(H_2_O)_7_·2H_2_O,Zn Fe P O H,https://www.mindat.org/search.php?search=Flurlite
Foggite,Foggite,CaAl(PO_4_)(OH)_2_·H_2_O,Ca Al P O H,https://www.mindat.org/search.php?search=Foggite
Fogoite-(Y),Fogoite-(Y),Ca_2_Y_2_Na_3_Ti(Si_2_O_7_)_2_(OF)F_2_,Ca Y Na Ti Si O F,https://www.mindat.org/search.php?search=Fogoite-(Y)
Foitite,Foitite,[box](Fe^2+^_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_(OH),Fe Al Si O B H,https://www.mindat.org/search.php?search=Foitite
Folvikite,Folvikite,"Sb^5+^Mn^3+^(Mg,Mn^2+^)_10_O_8_(BO_3_)_4_",Sb Mn Mg O B,https://www.mindat.org/search.php?search=Folvikite
Fontanite,Fontanite,Ca(UO_2_)_3_(CO_3_)_2_O_2_·6H_2_O,Ca U O C H,https://www.mindat.org/search.php?search=Fontanite
Fontarnauite,Fontarnauite,"(Na,K)_2_(Sr,Ca)(SO_4_)[B_5_O_8_(OH)](H_2_O)_2_",Na K Sr Ca S O B H,https://www.mindat.org/search.php?search=Fontarnauite
Foordite,Foordite,Sn^2+^Nb_2_O_6_,Sn Nb O,https://www.mindat.org/search.php?search=Foordite
Footemineite,Footemineite,Ca_2_Mn^2+^_5_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O,Ca Mn Be P O H,https://www.mindat.org/search.php?search=Footemineite
Forêtite,Foretite,"Cu_2_Al_2_(AsO_4_)(OH,O,H_2_O)_6_",Cu Al As O H,https://www.mindat.org/search.php?search=Foretite
Formanite-(Y),Formanite-(Y),YTaO_4_,Y Ta O,https://www.mindat.org/search.php?search=Formanite-(Y)
Formicaite,Formicaite,Ca(CHOO)_2_,Ca C H O,https://www.mindat.org/search.php?search=Formicaite
Fornacite,Fornacite,CuPb_2_(CrO_4_)(AsO_4_)(OH),Cu Pb Cr O As H,https://www.mindat.org/search.php?search=Fornacite
Forsterite,Forsterite,Mg_2_(SiO_4_),Mg Si O,https://www.mindat.org/search.php?search=Forsterite
Foshagite,Foshagite,Ca_4_(SiO_3_)_3_(OH)_2_,Ca Si O H,https://www.mindat.org/search.php?search=Foshagite
Fougèrite,Fougerite,Fe^2+^_4_Fe^3+^_2_(OH)_12_(CO_3_)·3H_2_O,Fe O H C,https://www.mindat.org/search.php?search=Fougerite
Fourmarierite,Fourmarierite,Pb_1-x_O_3-2x_(UO_2_)_4_(OH)_4+2x_·4H_2_O,Pb O U H,https://www.mindat.org/search.php?search=Fourmarierite
Fowlerite,Fowlerite,"(Mn,Zn)SiO_3_",Mn Zn Si O,https://www.mindat.org/search.php?search=Fowlerite
Fraipontite,Fraipontite,"(Zn,Al)_3_(Si,Al)_2_O_5_(OH)_4_",Zn Al Si O H,https://www.mindat.org/search.php?search=Fraipontite
Francevillite,Francevillite,Ba(UO_2_)_2_(VO_4_)_2_·5H_2_O,Ba U O V H,https://www.mindat.org/search.php?search=Francevillite
Franciscanite,Franciscanite,Mn^2+^_6_(V^5+^[box])(SiO_4_)_2_O_3_(OH)_3_,Mn V Si O H,https://www.mindat.org/search.php?search=Franciscanite
Francisite,Francisite,Cu_3_Bi(Se^4+^O_3_)_2_O_2_Cl,Cu Bi Se O Cl,https://www.mindat.org/search.php?search=Francisite
Franckeite,Franckeite,Pb_21.7_Sn_9.3_Fe_4.0_Sb_8.1_S_56.9_,Pb Sn Fe Sb S,https://www.mindat.org/search.php?search=Franckeite
Francoanellite,Francoanellite,K_3_Al_5_(PO_3_OH)_6_(PO_4_)_2_·12H_2_O,K Al P O H,https://www.mindat.org/search.php?search=Francoanellite
Françoisite-(Ce),Francoisite-(Ce),Ce(UO_2_)_3_O(OH)(PO_4_)_2_·6H_2_O,Ce U O H P,https://www.mindat.org/search.php?search=Francoisite-(Ce)
Françoisite-(Nd),Francoisite-(Nd),Nd(UO_2_)_3_O(OH)(PO_4_)_2_·6H_2_O,Nd U O H P,https://www.mindat.org/search.php?search=Francoisite-(Nd)
Franconite,Franconite,NaNb_2_O_5_(OH)·3H_2_O,Na Nb O H,https://www.mindat.org/search.php?search=Franconite
Frankamenite,Frankamenite,"K_3_Na_3_Ca_5_Si_12_O_30_(F,OH)_4_·H_2_O",K Na Ca Si O F H,https://www.mindat.org/search.php?search=Frankamenite
Frankdicksonite,Frankdicksonite,BaF_2_,Ba F,https://www.mindat.org/search.php?search=Frankdicksonite
Frankhawthorneite,Frankhawthorneite,Cu_2_Te^6+^O_4_(OH)_2_,Cu Te O H,https://www.mindat.org/search.php?search=Frankhawthorneite
Franklinfurnaceite,Franklinfurnaceite,Ca_2_Mn^2+^_3_Mn^3+^Fe^3+^Zn_2_Si_2_O_10_(OH)_8_,Ca Mn Fe Zn Si O H,https://www.mindat.org/search.php?search=Franklinfurnaceite
Franklinite,Franklinite,ZnFe^3+^_2_O_4_,Zn Fe O,https://www.mindat.org/search.php?search=Franklinite
Franklinphilite,Franklinphilite,"(K,Na)_4_(Mn^2+^,Mg,Zn)_48_(Si,Al)_72_(O,OH)_216_·6H_2_O",K Na Mn Mg Zn Si Al O H,https://www.mindat.org/search.php?search=Franklinphilite
Franksousaite,Franksousaite,PbCu(Se^6+^O_4_)(OH)_2_,Pb Cu Se O H,https://www.mindat.org/search.php?search=Franksousaite
Fransoletite,Fransoletite,Ca_3_Be_2_(PO_4_)_2_(PO_3_OH)_2_·4H_2_O,Ca Be P O H,https://www.mindat.org/search.php?search=Fransoletite
Franzinite,Franzinite,"(Na,K)_30_Ca_10_(Si_30_Al_30_)O_120_(SO_4_)_10_·2H_2_O",Na K Ca Si Al O S H,https://www.mindat.org/search.php?search=Franzinite
Freboldite,Freboldite,CoSe,Co Se,https://www.mindat.org/search.php?search=Freboldite
Fredrikssonite,Fredrikssonite,Mg_2_Mn^3+^O_2_(BO_3_),Mg Mn O B,https://www.mindat.org/search.php?search=Fredrikssonite
Freedite,Freedite,Cu^1+^Pb_8_(As^3+^O_3_)_2_O_3_Cl_5_,Cu Pb As O Cl,https://www.mindat.org/search.php?search=Freedite
Freieslebenite,Freieslebenite,AgPbSbS_3_,Ag Pb Sb S,https://www.mindat.org/search.php?search=Freieslebenite
Freitalite,Freitalite,C_14_H_10_,C H,https://www.mindat.org/search.php?search=Freitalite
Fresnoite,Fresnoite,Ba_2_TiO(Si_2_O_7_),Ba Ti O Si,https://www.mindat.org/search.php?search=Fresnoite
Freudenbergite,Freudenbergite,Na(Ti^4+^_3_Fe^3+^)O_8_,Na Ti Fe O,https://www.mindat.org/search.php?search=Freudenbergite
Friedelite,Friedelite,Mn^2+^_8_Si_6_O_15_(OH)_10_,Mn Si O H,https://www.mindat.org/search.php?search=Friedelite
Friedrichbeckeite,Friedrichbeckeite,K([box]Na)Mg_2_(Be_2_Mg)Si_12_O_30_,K Na Mg Be Si O,https://www.mindat.org/search.php?search=Friedrichbeckeite
Friedrichite,Friedrichite,Cu_5_Pb_5_Bi_7_S_18_,Cu Pb Bi S,https://www.mindat.org/search.php?search=Friedrichite
Fritzscheite,Fritzscheite,"Mn^2+^(UO_2_)_2_(VO_4_,PO_4_)_2_·4H_2_O",Mn U O V P H,https://www.mindat.org/search.php?search=Fritzscheite
Frohbergite,Frohbergite,FeTe_2_,Fe Te,https://www.mindat.org/search.php?search=Frohbergite
Frolovite,Frolovite,Ca[B(OH)_4_]_2_,Ca B O H,https://www.mindat.org/search.php?search=Frolovite
Frondelite,Frondelite,(Mn^2+^_0.5_Fe^3+^_0.5_)_2_Fe^3+^_3_(PO_4_)_3_(OH)_5_,Mn Fe P O H,https://www.mindat.org/search.php?search=Frondelite
Froodite,Froodite,PdBi_2_,Pd Bi,https://www.mindat.org/search.php?search=Froodite
Fuenzalidaite,Fuenzalidaite,K_3_Na_5_Mg_5_(IO_3_)_6_(SO_4_)_6_·6H_2_O,K Na Mg I O S H,https://www.mindat.org/search.php?search=Fuenzalidaite
Fuettererite,Fuettererite,Pb_3_Cu^2+^_6_Te^6+^O_6_(OH)_7_Cl_5_,Pb Cu Te O H Cl,https://www.mindat.org/search.php?search=Fuettererite
Fukalite,Fukalite,Ca_4_Si_2_O_6_(CO_3_)(OH)_2_,Ca Si O C H,https://www.mindat.org/search.php?search=Fukalite
Fukuchilite,Fukuchilite,Cu_3_FeS_8_,Cu Fe S,https://www.mindat.org/search.php?search=Fukuchilite
Fulbrightite,Fulbrightite,Ca(VO)_2_(AsO_4_)_2_·4H_2_O,Ca V O As H,https://www.mindat.org/search.php?search=Fulbrightite
Fülöppite,Fuloppite,Pb_3_Sb_8_S_15_,Pb Sb S,https://www.mindat.org/search.php?search=Fuloppite
Furongite,Furongite,Al_4_(UO_2_)_4_(PO_4_)_6_(OH)_2_(H_2_O)_19.5_,Al U O P H,https://www.mindat.org/search.php?search=Furongite
Furutobeite,Furutobeite,"(Cu,Ag)_6_PbS_4_",Cu Ag Pb S,https://www.mindat.org/search.php?search=Furutobeite
Gabrielite,Gabrielite,Tl_2_AgCu_2_As_3_S_7_,Tl Ag Cu As S,https://www.mindat.org/search.php?search=Gabrielite
Gabrielsonite,Gabrielsonite,PbFe^3+^(AsO_3_)O,Pb Fe As O,https://www.mindat.org/search.php?search=Gabrielsonite
Gachingite,Gachingite,Au(Te_1-x_Se_x_) 0.2 ≈ x ≤ 0.5,Au Te Se,https://www.mindat.org/search.php?search=Gachingite
Gadolinite-(Ce),Gadolinite-(Ce),Ce_2_Fe^2+^Be_2_O_2_(SiO_4_)_2_,Ce Fe Be O Si,https://www.mindat.org/search.php?search=Gadolinite-(Ce)
Gadolinite-(Nd),Gadolinite-(Nd),Nd_2_Fe^2+^Be_2_O_2_(SiO_4_)_2_,Nd Fe Be O Si,https://www.mindat.org/search.php?search=Gadolinite-(Nd)
Gadolinite-(Y),Gadolinite-(Y),Y_2_Fe^2+^Be_2_O_2_(SiO_4_)_2_,Y Fe Be O Si,https://www.mindat.org/search.php?search=Gadolinite-(Y)
Gagarinite-(Ce),Gagarinite-(Ce),NaCaCeF_6_,Na Ca Ce F,https://www.mindat.org/search.php?search=Gagarinite-(Ce)
Gagarinite-(Y),Gagarinite-(Y),NaCaYF_6_,Na Ca Y F,https://www.mindat.org/search.php?search=Gagarinite-(Y)
Gageite,Gageite,Mn^2+^_21_Si_8_O_27_(OH)_20_,Mn Si O H,https://www.mindat.org/search.php?search=Gageite
Gahnite,Gahnite,ZnAl_2_O_4_,Zn Al O,https://www.mindat.org/search.php?search=Gahnite
Gaidonnayite,Gaidonnayite,Na_2_ZrSi_3_O_9_·2H_2_O,Na Zr Si O H,https://www.mindat.org/search.php?search=Gaidonnayite
Gaildunningite,Gaildunningite,"Hg^2+^_3_[NHg^2+^_2_]_18_(Cl,I)_24_",Hg N Cl I,https://www.mindat.org/search.php?search=Gaildunningite
Gainesite,Gainesite,"Na_2_(Be,Li)Zr_2_(PO_4_)_4_·1.5H_2_O",Na Be Li Zr P O H,https://www.mindat.org/search.php?search=Gainesite
Gaitite,Gaitite,Ca_2_Zn(AsO_4_)_2_·2H_2_O,Ca Zn As O H,https://www.mindat.org/search.php?search=Gaitite
Gajardoite,Gajardoite,KCa_0.5_As^3+^_4_O_6_Cl_2_·5H_2_O,K Ca As O Cl H,https://www.mindat.org/search.php?search=Gajardoite
Galaxite,Galaxite,Mn^2+^Al_2_O_4_,Mn Al O,https://www.mindat.org/search.php?search=Galaxite
Galeaclolusite,Galeaclolusite,Al_6_(AsO_4_)_3_(OH)_9_(H_2_O)_4_·8H_2_O,Al As O H,https://www.mindat.org/search.php?search=Galeaclolusite
Galeite,Galeite,Na_15_(SO_4_)_5_ClF_4_,Na S O Cl F,https://www.mindat.org/search.php?search=Galeite
Galena,Galena,PbS,Pb S,https://www.mindat.org/search.php?search=Galena
Galenobismutite,Galenobismutite,PbBi_2_S_4_,Pb Bi S,https://www.mindat.org/search.php?search=Galenobismutite
Galgenbergite-(Ce),Galgenbergite-(Ce),CaCe_2_(CO_3_)_4_·H_2_O,Ca Ce C O H,https://www.mindat.org/search.php?search=Galgenbergite-(Ce)
Galileiite,Galileiite,NaFe^2+^_4_(PO_4_)_3_,Na Fe P O,https://www.mindat.org/search.php?search=Galileiite
Galkhaite,Galkhaite,(Hg_5_Cu)CsAs_4_S_12_,Hg Cu Cs As S,https://www.mindat.org/search.php?search=Galkhaite
Galliskiite,Galliskiite,Ca_4_Al_2_(PO_4_)_2_F_8_·5H_2_O,Ca Al P O F H,https://www.mindat.org/search.php?search=Galliskiite
Gallite,Gallite,CuGaS_2_,Cu Ga S,https://www.mindat.org/search.php?search=Gallite
Gallobeudantite,Gallobeudantite,PbGa_3_(AsO_4_)(SO_4_)(OH)_6_,Pb Ga As O S H,https://www.mindat.org/search.php?search=Gallobeudantite
Galloplumbogummite,Galloplumbogummite,"Pb(Ga,Al,Ge)_3_(PO_4_)_2_(OH)_6_",Pb Ga Al Ge P O H,https://www.mindat.org/search.php?search=Galloplumbogummite
Galuskinite,Galuskinite,Ca_7_(SiO_4_)_3_(CO_3_),Ca Si O C,https://www.mindat.org/search.php?search=Galuskinite
Gamagarite,Gamagarite,Ba_2_Fe^3+^(VO_4_)_2_(OH),Ba Fe V O H,https://www.mindat.org/search.php?search=Gamagarite
Gananite,Gananite,BiF_3_,Bi F,https://www.mindat.org/search.php?search=Gananite
Ganomalite,Ganomalite,Pb_9_Ca_6_(Si_2_O_7_)_4_(SiO_4_)O,Pb Ca Si O,https://www.mindat.org/search.php?search=Ganomalite
Ganophyllite,Ganophyllite,"(K,Na)_x_Mn^2+^_6_(Si,Al)_10_O_24_(OH)_4_·nH_2_O (x = 1-2; n = 7-11)",K Na Mn Si Al O H,https://www.mindat.org/search.php?search=Ganophyllite
Ganterite,Ganterite,"Ba_0.5_(Na,K)_0.5_Al_2_(Si_2.5_Al_1.5_)O_10_(OH)_2_",Ba Na K Al Si O H,https://www.mindat.org/search.php?search=Ganterite
Gaotaiite,Gaotaiite,Ir_3_Te_8_,Ir Te,https://www.mindat.org/search.php?search=Gaotaiite
Garavellite,Garavellite,FeSbBiS_4_,Fe Sb Bi S,https://www.mindat.org/search.php?search=Garavellite
Garmite,Garmite,CsLiMg_2_(Si_4_O_10_)F_2_,Cs Li Mg Si O F,https://www.mindat.org/search.php?search=Garmite
Garpenbergite,Garpenbergite,Mn_6_AsSbO_10_(OH)_2_,Mn As Sb O H,https://www.mindat.org/search.php?search=Garpenbergite
Garrelsite,Garrelsite,NaBa_3_B_7_Si_2_O_16_(OH)_4_,Na Ba B Si O H,https://www.mindat.org/search.php?search=Garrelsite
Garronite-Ca,Garronite-Ca,Ca_3_(Al_6_Si_10_O_32_)·14H_2_O,Ca Al Si O H,https://www.mindat.org/search.php?search=Garronite-Ca
Garronite-Na,Garronite-Na,Na_6_(Al_6_Si_10_O_32_)·8.5H_2_O,Na Al Si O H,https://www.mindat.org/search.php?search=Garronite-Na
Gartrellite,Gartrellite,PbCuFe^3+^(AsO_4_)_2_(OH)·H_2_O,Pb Cu Fe As O H,https://www.mindat.org/search.php?search=Gartrellite
Garutiite,Garutiite,"(Ni,Fe,Ir)",Ni Fe Ir,https://www.mindat.org/search.php?search=Garutiite
Garyansellite,Garyansellite,Mg_2_Fe^3+^(PO_4_)_2_(OH)·2H_2_O,Mg Fe P O H,https://www.mindat.org/search.php?search=Garyansellite
Gasparite-(Ce),Gasparite-(Ce),Ce(AsO_4_),Ce As O,https://www.mindat.org/search.php?search=Gasparite-(Ce)
Gasparite-(La),Gasparite-(La),La(AsO_4_),La As O,https://www.mindat.org/search.php?search=Gasparite-(La)
Gaspéite,Gaspeite,Ni(CO_3_),Ni C O,https://www.mindat.org/search.php?search=Gaspeite
Gatedalite,Gatedalite,ZrMn^2+^_2_Mn^3+^_4_O_8_(SiO_4_),Zr Mn O Si,https://www.mindat.org/search.php?search=Gatedalite
Gatehouseite,Gatehouseite,Mn^2+^_5_(PO_4_)_2_(OH)_4_,Mn P O H,https://www.mindat.org/search.php?search=Gatehouseite
Gatelite-(Ce),Gatelite-(Ce),"(Ca,Ce)_4_(Al,Mg,Fe)_4_(Si_2_O_7_)(SiO_4_)_3_(O,F,OH)_3_",Ca Ce Al Mg Fe Si O F H,https://www.mindat.org/search.php?search=Gatelite-(Ce)
Gatewayite,Gatewayite,Ca_6_(As^3+^V^4+^_3_V^5+^_9_As^5+^_6_O_51_)·31H_2_O,Ca As V O H,https://www.mindat.org/search.php?search=Gatewayite
Gatumbaite,Gatumbaite,CaAl_2_(PO_4_)_2_(OH)_2_·H_2_O,Ca Al P O H,https://www.mindat.org/search.php?search=Gatumbaite
Gaudefroyite,Gaudefroyite,Ca_4_Mn^3+^_3_(BO_3_)_3_(CO_3_)O_3_,Ca Mn B O C,https://www.mindat.org/search.php?search=Gaudefroyite
Gaultite,Gaultite,Na_4_Zn_2_Si_7_O_18_·5H_2_O,Na Zn Si O H,https://www.mindat.org/search.php?search=Gaultite
Gauthierite,Gauthierite,KPb[(UO_2_)_7_O_5_(OH)_7_]·8H_2_O,K Pb U O H,https://www.mindat.org/search.php?search=Gauthierite
Gayite,Gayite,NaMnFe_5_(PO_4_)_4_(OH)_6_·2H_2_O,Na Mn Fe P O H,https://www.mindat.org/search.php?search=Gayite
Gaylussite,Gaylussite,Na_2_Ca(CO_3_)_2_·5H_2_O,Na Ca C O H,https://www.mindat.org/search.php?search=Gaylussite
Gazeevite,Gazeevite,BaCa_6_(SiO_4_)_2_(SO_4_)_2_O,Ba Ca Si O S,https://www.mindat.org/search.php?search=Gazeevite
Gearksutite,Gearksutite,CaAlF_4_(OH)·H_2_O,Ca Al F O H,https://www.mindat.org/search.php?search=Gearksutite
Gebhardite,Gebhardite,Pb_8_As^3+^_4_O_11_Cl_6_,Pb As O Cl,https://www.mindat.org/search.php?search=Gebhardite
Gedrite,Gedrite,[box]Mg_2_(Mg_3_Al_2_)(Si_6_Al_2_)O_22_(OH)_2_,Mg Al Si O H,https://www.mindat.org/search.php?search=Gedrite
Geerite,Geerite,Cu_8_S_5_,Cu S,https://www.mindat.org/search.php?search=Geerite
Geffroyite,Geffroyite,"(Cu,Fe,Ag)_9_Se_8_",Cu Fe Ag Se,https://www.mindat.org/search.php?search=Geffroyite
Gehlenite,Gehlenite,Ca_2_Al(SiAl)O_7_,Ca Al Si O,https://www.mindat.org/search.php?search=Gehlenite
Geigerite,Geigerite,Mn^2+^_5_(AsO_4_)_2_(AsO_3_OH)_2_·10H_2_O,Mn As O H,https://www.mindat.org/search.php?search=Geigerite
Geikielite,Geikielite,MgTiO_3_,Mg Ti O,https://www.mindat.org/search.php?search=Geikielite
Gelosaite,Gelosaite,BiMo^6+^_(2-5x)_Mo^5+^_6x_O_7_(OH)·H_2_O (0 < x < 0.4),Bi Mo O H,https://www.mindat.org/search.php?search=Gelosaite
Geminite,Geminite,Cu^2+^(AsO_3_OH)·H_2_O,Cu As O H,https://www.mindat.org/search.php?search=Geminite
Gengenbachite,Gengenbachite,KFe_3_(H_2_PO_4_)_2_(HPO_4_)_4_·6H_2_O,K Fe H P O,https://www.mindat.org/search.php?search=Gengenbachite
Genkinite,Genkinite,Pt_4_Sb_3_,Pt Sb,https://www.mindat.org/search.php?search=Genkinite
Genplesite,Genplesite,Ca_3_Sn(SO_4_)_2_(OH)_6_·3H_2_O,Ca Sn S O H,https://www.mindat.org/search.php?search=Genplesite
Genthelvite,Genthelvite,Be_3_Zn_4_(SiO_4_)_3_S,Be Zn Si O S,https://www.mindat.org/search.php?search=Genthelvite
Geocronite,Geocronite,Pb_14_Sb_6_S_23_,Pb Sb S,https://www.mindat.org/search.php?search=Geocronite
Georgbarsanovite,Georgbarsanovite,"Na_12_(Mn,Sr,REE)_3_Ca_6_Fe^2+^_3_Zr_3_NbSi_25_O_76_Cl_2_·H_2_O",Na Mn Sr REE Ca Fe Zr Nb Si O Cl H,https://www.mindat.org/search.php?search=Georgbarsanovite
Georgbokiite,Georgbokiite,Cu_5_O_2_(Se^4+^O_3_)_2_Cl_2_,Cu O Se Cl,https://www.mindat.org/search.php?search=Georgbokiite
